mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731984155.063336,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-460+439j),(-309+513j),(-149+535j),(-13+455j),(73+332j),(157+199j),(215+28j),(250-128j),(294-294j),(318-438j),(372-578j),(409-687j),(437-776j),(461-835j),(470-862j),(470-861j),(443-818j),(392-748j),(321-670j),(218-559j),(99-463j),(-42-367j),(-188-279j),(-338-191j),(-449-96j),(-539-11j),(-531+101j),(-333+204j),(-6912+3423j),(44-480j),(-138-699j),(-289-753j),(-342-721j),(-389-649j),(-401-533j),(-406-400j),(-420-245j),(-436-87j),(-457+77j),(-478+243j),(-500+370j),(-514+504j),(-525+608j),(-490+676j),(-470+724j),(-422+735j),(-348+735j),(-265+700j),(-158+652j),(-42+584j),(90+496j),(224+376j),(342+233j),(425+46j),(441-167j),(348-336j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984155.298868,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-363+656j),(-177+668j),(-4+646j),(168+517j),(291+376j),(359+195j),(392-4j),(387-183j),(375-358j),(325-521j),(289-670j),(228-814j),(189-908j),(119-983j),(60-1015j),(-8-1000j),(-72-943j),(-151-896j),(-204-782j),(-292-646j),(-356-506j),(-431-335j),(-491-163j),(-532-3j),(-562+174j),(-522+315j),(-386+419j),(-126+373j),(-6912+3423j),(-318-341j),(-637-310j),(-769-191j),(-814-61j),(-771+49j),(-707+174j),(-599+299j),(-490+398j),(-359+493j),(-220+605j),(-89+673j),(49+725j),(49+725j),(301+758j),(414+742j),(489+684j),(568+610j),(597+495j),(628+363j),(621+214j),(606+55j),(547-100j),(449-271j),(311-413j),(115-524j),(-117-557j),(-305-524j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731984155.303032,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(420+521j),(484+391j),(524+253j),(512+64j),(407-115j),(290-232j),(141-322j),(-21-379j),(-185-425j),(-346-440j),(-491-444j),(-623-438j),(-718-404j),(-807-365j),(-864-302j),(-885-230j),(-872-141j),(-812-58j),(-738+30j),(-633+124j),(-528+230j),(-387+328j),(-248+416j),(-96+471j),(61+512j),(202+518j),(324+395j),(327+153j),(-6912+3423j),(-336+261j),(-323+541j),(-210+690j),(-96+722j),(36+708j),(150+653j),(252+552j),(361+457j),(445+324j),(535+189j),(603+53j),(653-70j),(665-197j),(671-312j),(635-422j),(562-521j),(485-565j),(372-602j),(245-603j),(103-585j),(-33-551j),(-185-469j),(-306-359j),(-426-204j),(-483-2j),(-470+214j),(-416+357j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984155.313016,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-158-342j),(-315-210j),(-373-36j),(-353+129j),(-282+257j),(-171+348j),(-55+400j),(82+423j),(197+393j),(310+344j),(410+268j),(498+172j),(565+59j),(596-70j),(600-203j),(578-343j),(526-460j),(447-572j),(356-681j),(249-744j),(124-799j),(2-839j),(-118-857j),(-243-839j),(-365-797j),(-459-767j),(-556-715j),(-653-624j),(-6912+3423j),(-820-445j),(-855-366j),(-918-230j),(-923-117j),(-942+24j),(-941+152j),(-834+290j),(-830+414j),(-749+549j),(-644+642j),(-512+725j),(-365+783j),(-217+821j),(-52+821j),(110+790j),(254+718j),(391+619j),(492+489j),(574+339j),(614+184j),(604+15j),(569-156j),(478-312j),(331-437j),(138-518j),(-100-512j),(-320-388j),(10246+4096j),(-10309-32640j),(1152+0j),0j
6c3b6baef921,1731984155.326334,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(401+160j),(425-93j),(320-292j),(151-399j),(-33-431j),(-197-390j),(-327-297j),(-422-183j),(-480-32j),(-493+122j),(-460+279j),(-387+421j),(-279+544j),(-136+631j),(23+688j),(195+700j),(367+669j),(523+591j),(662+489j),(772+352j),(858+202j),(911+33j),(915-134j),(894-298j),(840-452j),(760-604j),(658-731j),(533-840j),(-6912+3423j),(238-986j),(76-1021j),(-97-1028j),(-269-1002j),(-440-943j),(-601-855j),(-756-735j),(-866-568j),(-956-388j),(-999-186j),(-999+16j),(-952+223j),(-854+414j),(-714+575j),(-540+705j),(-341+785j),(-134+808j),(68+779j),(262+701j),(432+567j),(567+419j),(635+196j),(646-29j),(573-248j),(409-451j),(149-575j),(-154-554j),(10246+4096j),(-10053-32640j),(128+0j),0j
6c3b6baef921,1731984155.329160,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(114-381j),(-118-380j),(-294-263j),(-374-105j),(-387+63j),(-336+207j),(-246+326j),(-106+408j),(18+440j),(169+429j),(309+383j),(430+304j),(525+177j),(590+42j),(614-114j),(599-279j),(546-434j),(455-569j),(331-676j),(182-757j),(26-799j),(-155-815j),(-287-784j),(-442-731j),(-574-657j),(-687-553j),(-786-436j),(-861-294j),(-6912+3423j),(-924+19j),(-922+173j),(-880+324j),(-817+476j),(-719+617j),(-592+742j),(-456+820j),(-275+917j),(-84+948j),(111+936j),(294+871j),(467+767j),(610+634j),(715+459j),(775+271j),(784+70j),(744-125j),(653-304j),(524-450j),(355-560j),(166-610j),(-34-620j),(-241-559j),(-414-413j),(-534-198j),(-555+65j),(-429+326j),(10246+4096j),(-10053-32640j),(128+0j),0j
6c3b6baef921,1731984155.333544,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-15+424j),(223+378j),(382+227j),(417+27j),(405-128j),(322-280j),(205-382j),(80-468j),(-86-488j),(-223-446j),(-357-400j),(-490-300j),(-567-188j),(-635-45j),(-672+110j),(-659+277j),(-614+446j),(-522+578j),(-409+709j),(-277+791j),(-126+862j),(29+904j),(190+885j),(339+866j),(482+807j),(611+736j),(731+633j),(832+529j),(-6912+3423j),(973+245j),(1007+111j),(1023-51j),(1011-212j),(972-385j),(893-537j),(815-690j),(657-807j),(493-905j),(321-969j),(133-996j),(-72-987j),(-266-923j),(-442-821j),(-588-679j),(-701-509j),(-767-318j),(-783-113j),(-758+83j),(-673+275j),(-566+442j),(-378+562j),(-180+629j),(58+637j),(299+542j),(497+346j),(593+61j),(10246-7168j),(-10061-32640j),(128+0j),0j
6c3b6baef921,1731984155.460915,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-483-354j),(-541-237j),(-572-115j),(-526+32j),(-469+147j),(-358+220j),(-253+270j),(-128+295j),(14+310j),(144+311j),(282+301j),(404+287j),(518+277j),(625+245j),(713+221j),(759+176j),(797+129j),(792+86j),(766+30j),(708-17j),(638-98j),(538-156j),(431-244j),(294-309j),(153-368j),(16-410j),(-131-365j),(-204-183j),(-6912+3423j),(331-153j),(406-414j),(372-597j),(308-676j),(218-729j),(133-728j),(53-698j),(-48-645j),(-132-572j),(-236-488j),(-331-388j),(-427-286j),(-516-158j),(-560-44j),(-608+75j),(-616+184j),(-619+273j),(-578+368j),(-519+427j),(-435+482j),(-346+515j),(-219+535j),(-79+537j),(83+491j),(235+388j),(347+244j),(397+95j),(10245+0j),(-9984-32640j),(128+0j),0j
6c3b6baef921,1731984155.542392,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(263-633j),(118-658j),(-27-656j),(-191-595j),(-334-457j),(-406-320j),(-440-149j),(-447+12j),(-427+177j),(-389+327j),(-316+486j),(-244+615j),(-143+723j),(-55+810j),(40+881j),(141+892j),(215+895j),(314+836j),(368+751j),(420+638j),(463+509j),(515+341j),(511+193j),(520+16j),(484-152j),(407-314j),(261-408j),(29-336j),(-6912+3423j),(380+199j),(662+64j),(777-107j),(775-252j),(731-342j),(647-440j),(530-523j),(408-545j),(252-576j),(86-575j),(-66-572j),(-221-548j),(-369-511j),(-503-441j),(-607-353j),(-680-264j),(-738-163j),(-746-53j),(-719+74j),(-667+184j),(-568+309j),(-453+392j),(-302+456j),(-127+492j),(79+480j),(276+384j),(392+285j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984155.546395,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-73+661j),(67+649j),(203+608j),(340+498j),(439+337j),(465+175j),(463+19j),(409-155j),(336-300j),(247-428j),(147-555j),(44-645j),(-75-733j),(-203-795j),(-315-807j),(-418-799j),(-495-767j),(-548-676j),(-573-578j),(-586-449j),(-614-314j),(-614-314j),(-547+3j),(-482+167j),(-381+316j),(-252+445j),(-86+470j),(100+322j),(-6912+3423j),(-435-42j),(-635+191j),(-685+381j),(-617+516j),(-545+607j),(-439+653j),(-286+687j),(-165+662j),(-15+619j),(142+568j),(291+497j),(421+414j),(540+308j),(635+202j),(695+67j),(733-50j),(723-161j),(694-272j),(622-359j),(526-452j),(390-518j),(251-545j),(83-534j),(-102-493j),(-283-382j),(-408-218j),(-468-79j),(10245+0j),(-10496-32640j),(128+0j),0j
