mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731969342.865701,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-647-154j),(-738+42j),(-759+272j),(-661+544j),(-447+734j),(-216+823j),(10+802j),(195+698j),(271+553j),(290+384j),(252+223j),(139+79j),(-21-2j),(-203-31j),(-394+4j),(-543+99j),(-658+230j),(-705+396j),(-700+553j),(-629+685j),(-527+775j),(-357+835j),(-228+793j),(-79+711j),(47+573j),(133+389j),(136+199j),(50+33j),(-1729-97j),(86-92j),(106-316j),(30-513j),(-124-662j),(-301-749j),(-478-762j),(-673-691j),(-755-591j),(-821-433j),(-813-266j),(-738-107j),(-607+24j),(-424+100j),(-225+112j),(-28+48j),(127-65j),(219-227j),(240-406j),(178-567j),(53-690j),(-145-752j),(-330-727j),(-510-610j),(-644-412j),(-688-158j),(-610+82j),(-473+220j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969342.870938,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-192+607j),(-131+690j),(-48+759j),(77+797j),(192+781j),(268+746j),(303+685j),(326+594j),(278+502j),(230+388j),(156+254j),(75+112j),(-14-30j),(-103-183j),(-177-328j),(-238-464j),(-287-597j),(-325-692j),(-327-774j),(-311-809j),(-292-832j),(-285-799j),(-217-741j),(-177-637j),(-142-497j),(-116-347j),(-91-192j),(-22-40j),(-1729-97j),(-128+4j),(-308+89j),(-456+176j),(-575+258j),(-693+323j),(-775+357j),(-800+395j),(-822+357j),(-790+340j),(-723+297j),(-637+245j),(-514+202j),(-354+148j),(-197+93j),(-16+40j),(151-6j),(299-57j),(453-97j),(563-151j),(633-201j),(668-275j),(681-305j),(640-361j),(580-415j),(458-458j),(318-457j),(204-423j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969342.872223,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(567+423j),(700+302j),(809+128j),(845-140j),(773-380j),(633-569j),(444-651j),(268-662j),(116-592j),(-5-477j),(-65-310j),(-54-133j),(18+49j),(126+185j),(277+298j),(442+352j),(608+363j),(753+308j),(867+228j),(917+119j),(927-2j),(876-124j),(774-225j),(625-289j),(453-308j),(264-274j),(115-202j),(8-47j),(-1729-97j),(-123-62j),(-351-5j),(-502+121j),(-611+297j),(-650+482j),(-624+638j),(-555+762j),(-420+839j),(-285+853j),(-149+820j),(-24+718j),(70+570j),(125+384j),(112+189j),(54-1j),(-69-151j),(-212-244j),(-395-287j),(-552-238j),(-685-143j),(-765+0j),(-768+170j),(-701+352j),(-545+500j),(-335+596j),(-101+596j),(49+537j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969342.878538,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(563+701j),(810+397j),(891+85j),(858-180j),(762-379j),(641-524j),(516-612j),(398-686j),(285-708j),(174-717j),(78-709j),(-10-685j),(-85-649j),(-140-600j),(-186-552j),(-217-491j),(-244-431j),(-252-377j),(-255-320j),(-245-267j),(-229-208j),(-209-150j),(-169-115j),(-133-75j),(-90-44j),(-43-17j),(2+2j),(60+33j),(-1729-97j),(157+49j),(202+50j),(260+51j),(315+47j),(373+31j),(428+4j),(497-9j),(528-75j),(566-122j),(600-185j),(623-250j),(628-325j),(621-396j),(596-473j),(553-554j),(499-625j),(421-696j),(332-751j),(227-790j),(118-817j),(-12-838j),(-154-811j),(-308-768j),(-476-681j),(-628-531j),(-752-310j),(-797-18j),(10246+31744j),(-9029-32640j),(1152+0j),(-6085-8j)
6c3b6baef921,1731969342.890281,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-581+572j),(-274+781j),(52+807j),(315+730j),(509+594j),(633+430j),(691+269j),(733+114j),(721-28j),(678-156j),(641-271j),(559-358j),(501-444j),(373-463j),(284-495j),(198-475j),(119-450j),(55-419j),(3-380j),(-43-325j),(-81-273j),(-106-217j),(-104-152j),(-95-101j),(-95-101j),(-58-1j),(-24+45j),(21+75j),(-1729-97j),(119+129j),(166+144j),(223+142j),(284+131j),(340+115j),(403+81j),(473+45j),(515-20j),(544-91j),(566-178j),(567-263j),(549-355j),(509-451j),(452-529j),(384-613j),(281-670j),(176-724j),(32-746j),(-95-744j),(-233-712j),(-370-669j),(-489-554j),(-600-419j),(-691-252j),(-716-12j),(-668+206j),(-536+465j),(10246+26368j),(-9038-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969343.405837,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-438+494j),(-429+584j),(-385+680j),(-276+782j),(-126+851j),(10+854j),(92+836j),(137+770j),(188+692j),(206+547j),(211+390j),(211+233j),(234+50j),(222-140j),(225-315j),(238-476j),(258-631j),(274-737j),(290-816j),(314-853j),(315-869j),(327-817j),(286-766j),(239-670j),(152-541j),(62-403j),(-3-271j),(-63-71j),(-1729-97j),(-10-123j),(-169-256j),(-295-329j),(-432-384j),(-552-435j),(-627-486j),(-646-525j),(-663-540j),(-639-527j),(-591-496j),(-530-441j),(-458-363j),(-371-262j),(-284-146j),(-203-19j),(-129+113j),(-51+231j),(16+336j),(80+434j),(143+510j),(173+557j),(246+584j),(303+565j),(366+512j),(429+418j),(456+311j),(431+229j),(10245+0j),(-10496-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969343.870721,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-502-416j),(-641-304j),(-754-140j),(-803+119j),(-743+375j),(-609+550j),(-431+647j),(-236+658j),(-97+592j),(15+484j),(75+329j),(69+157j),(4+0j),(-112-132j),(-263-229j),(-434-265j),(-598-248j),(-727-167j),(-822-65j),(-858+61j),(-833+178j),(-760+315j),(-648+379j),(-489+411j),(-321+390j),(-155+314j),(-27+195j),(17+36j),(-1729-97j),(123+28j),(291-76j),(402-234j),(428-409j),(408-561j),(341-680j),(224-772j),(131-781j),(9-758j),(-85-681j),(-154-563j),(-181-428j),(-162-268j),(-93-128j),(19-4j),(155+65j),(290+84j),(424+53j),(528-27j),(584-143j),(591-290j),(543-409j),(425-524j),(265-585j),(74-590j),(-98-500j),(-178-407j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969343.875747,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(252+667j),(360+652j),(467+626j),(602+559j),(699+444j),(735+349j),(732+277j),(664+231j),(582+150j),(467+107j),(327+76j),(165+41j),(165+41j),(-191+2j),(-358-13j),(-519-14j),(-659-27j),(-759-34j),(-836-30j),(-874-42j),(-871-39j),(-828-53j),(-757-43j),(-640-26j),(-501-3j),(-339+31j),(-188+49j),(-27+15j),(-1729-97j),(-24+132j),(39+319j),(114+460j),(189+578j),(240+664j),(268+741j),(268+777j),(277+773j),(258+732j),(224+658j),(189+552j),(150+436j),(92+296j),(32+150j),(-36+6j),(-95-142j),(-157-267j),(-220-376j),(-275-468j),(-335-526j),(-373-552j),(-433-547j),(-478-497j),(-504-409j),(-498-301j),(-475-187j),(-440-75j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969344.407580,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(639+24j),(688-96j),(721-220j),(724-385j),(682-535j),(621-623j),(538-659j),(475-637j),(353-609j),(266-528j),(173-417j),(78-286j),(-4-121j),(-92+42j),(-179+211j),(-260+372j),(-326+506j),(-372+630j),(-420+715j),(-442+760j),(-444+788j),(-461+736j),(-391+720j),(-335+637j),(-243+532j),(-138+411j),(-138+411j),(23+80j),(-1729-97j),(55+77j),(232+144j),(403+170j),(559+178j),(686+179j),(766+195j),(803+237j),(823+213j),(795+205j),(740+201j),(649+183j),(531+153j),(393+113j),(237+64j),(69+16j),(-84-29j),(-237-73j),(-379-98j),(-500-114j),(-602-110j),(-660-128j),(-721-61j),(-738+1j),(-727+82j),(-657+185j),(-547+271j),(-440+327j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969344.408343,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-20+722j),(104+721j),(229+716j),(405+709j),(569+649j),(664+563j),(714+467j),(710+358j),(654+262j),(572+172j),(446+90j),(296+17j),(120-39j),(-63-83j),(-249-114j),(-423-141j),(-581-146j),(-725-142j),(-815-126j),(-877-115j),(-903-83j),(-880-43j),(-819-29j),(-726-4j),(-586+38j),(-423+82j),(-243+94j),(-54+56j),(-1729-97j),(-29+94j),(33+279j),(119+423j),(220+540j),(308+643j),(364+701j),(425+732j),(423+727j),(424+701j),(401+651j),(365+566j),(299+464j),(234+337j),(143+202j),(42+55j),(-57-70j),(-157-187j),(-264-289j),(-370-358j),(-458-397j),(-548-400j),(-617-381j),(-666-325j),(-693-228j),(-673-96j),(-612+33j),(-576+137j),(10245+0j),(-9472-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969344.869294,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(225+646j),(337+593j),(438+538j),(606+455j),(733+347j),(789+220j),(797+120j),(752-1j),(673-54j),(566-100j),(427-126j),(270-128j),(88-103j),(-83-67j),(-259-21j),(-421+33j),(-559+107j),(-674+161j),(-746+222j),(-798+257j),(-802+294j),(-768+347j),(-712+322j),(-614+311j),(-479+280j),(-328+250j),(-164+181j),(-20+74j),(-1729-97j),(15+90j),(140+216j),(288+303j),(420+362j),(550+401j),(633+431j),(707+422j),(713+441j),(709+413j),(657+391j),(582+333j),(491+273j),(375+193j),(240+113j),(83+45j),(-62-13j),(-209-69j),(-350-93j),(-475-100j),(-579-89j),(-659-37j),(-719+8j),(-724+69j),(-702+172j),(-625+272j),(-501+369j),(-432+438j),(10249+0j),(-8960-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969344.873752,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(124-648j),(12-652j),(-94-651j),(-276-667j),(-432-627j),(-543-558j),(-590-470j),(-607-367j),(-566-271j),(-506-176j),(-404-91j),(-268-12j),(-115+46j),(43+94j),(210+135j),(372+155j),(520+161j),(638+151j),(733+134j),(787+121j),(801+86j),(780+53j),(729+22j),(640-14j),(522-42j),(378-79j),(212-86j),(47-52j),(-1729-97j),(17-86j),(-38-242j),(-138-368j),(-238-475j),(-326-552j),(-397-607j),(-439-635j),(-467-637j),(-466-614j),(-438-573j),(-390-492j),(-335-407j),(-259-295j),(-165-178j),(-54-67j),(54+34j),(170+135j),(290+194j),(395+241j),(486+256j),(572+252j),(637+214j),(686+161j),(681+55j),(641-64j),(559-181j),(521-264j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969345.154994,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-318-470j),(-388-509j),(-452-548j),(-539-565j),(-604-553j),(-622-557j),(-596-543j),(-541-513j),(-446-492j),(-353-433j),(-252-340j),(-151-222j),(-62-74j),(-4+92j),(18+266j),(4+437j),(-53+581j),(-125+691j),(-229+765j),(-327+779j),(-430+757j),(-490+688j),(-529+585j),(-509+465j),(-440+342j),(-330+248j),(-196+155j),(-52+61j),(-1729-97j),(-22+90j),(-3+266j),(3+424j),(-11+565j),(-75+690j),(-164+765j),(-246+798j),(-362+774j),(-434+707j),(-477+608j),(-481+482j),(-439+351j),(-351+224j),(-228+110j),(-73+20j),(92-30j),(255-50j),(401-34j),(525-3j),(623+41j),(695+79j),(735+126j),(747+150j),(734+135j),(690+93j),(621+44j),(544+14j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969345.414121,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(486+28j),(562-32j),(625-106j),(655-215j),(644-321j),(618-380j),(573-406j),(528-383j),(456-352j),(377-296j),(288-217j),(185-135j),(81-31j),(-32+65j),(-148+157j),(-268+238j),(-383+303j),(-481+356j),(-564+378j),(-620+384j),(-653+366j),(-656+332j),(-629+302j),(-553+251j),(-453+209j),(-335+164j),(-199+127j),(-57+54j),(-1729-97j),(15+66j),(91+194j),(175+309j),(251+416j),(311+519j),(344+610j),(345+668j),(342+689j),(314+691j),(276+660j),(230+603j),(181+511j),(130+395j),(75+264j),(25+113j),(-26-39j),(-69-184j),(-114-312j),(-156-433j),(-198-521j),(-235-591j),(-296-624j),(-360-612j),(-418-568j),(-466-466j),(-485-351j),(-457-255j),(10245+0j),(-9984-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731969345.879512,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-718+114j),(-701+188j),(-684+270j),(-653+417j),(-579+541j),(-496+608j),(-409+624j),(-313+611j),(-254+529j),(-199+444j),(-150+319j),(-112+176j),(-93+23j),(-85-138j),(-89-301j),(-97-450j),(-101-584j),(-126-689j),(-138-770j),(-155-805j),(-160-811j),(-190-785j),(-160-723j),(-156-633j),(-143-507j),(-132-360j),(-96-214j),(-34-66j),(-1729-97j),(-73+66j),(-167+203j),(-241+333j),(-287+470j),(-327+578j),(-350+658j),(-333+727j),(-348+725j),(-329+719j),(-295+671j),(-251+597j),(-201+497j),(-149+375j),(-149+375j),(-68+62j),(-39-90j),(-28-233j),(-41-370j),(-74-479j),(-112-562j),(-189-612j),(-247-629j),(-318-599j),(-397-532j),(-455-415j),(-480-280j),(-513-206j),(10245+0j),(-9472-32640j),(128+0j),(-6085-8j)
