mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731984436.001346,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(74-516j),(-270-496j),(-529-245j),(-555+94j),(-364+371j),(-67+489j),(207+403j),(399+183j),(461-117j),(300-370j),(50-528j),(-238-515j),(-503-369j),(-701-104j),(-700+248j),(-517+563j),(-209+714j),(107+688j),(396+545j),(562+274j),(577-61j),(438-373j),(142-535j),(-221-550j),(-516-352j),(-617-15j),(-617-15j),(-80+371j),(-6912+3423j),(-432+4j),(-435+442j),(-163+700j),(221+691j),(518+451j),(617+74j),(527-261j),(249-514j),(-116-590j),(-476-470j),(-718-154j),(-784+228j),(-643+616j),(-313+868j),(76+942j),(465+813j),(740+519j),(850+132j),(728-259j),(442-511j),(88-589j),(-240-445j),(-438-149j),(-406+220j),(-119+465j),(269+438j),(494+138j),(10245+0j),(-12032-32640j),(128+0j),0j
6c3b6baef921,1731984436.113438,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-290-450j),(-487-172j),(-498+161j),(-325+391j),(-10+478j),(279+373j),(399+101j),(380-197j),(139-354j),(-143-410j),(-390-309j),(-573-22j),(-587+321j),(-407+609j),(-67+741j),(295+704j),(561+520j),(687+164j),(648-191j),(420-454j),(85-560j),(-240-509j),(-489-245j),(-563+109j),(-413+440j),(-77+609j),(242+495j),(381+104j),(-6912+3423j),(7+467j),(488+448j),(769+151j),(739-290j),(467-621j),(54-718j),(-321-555j),(-579-245j),(-613+183j),(-397+548j),(-9+754j),(430+728j),(801+462j),(997+44j),(930-443j),(637-819j),(192-990j),(-283-916j),(-626-608j),(-753-195j),(-670+229j),(-327+491j),(80+499j),(421+257j),(469-165j),(194-516j),(-232-536j),(10245+0j),(-11776-32640j),(128+0j),0j
6c3b6baef921,1731984436.149183,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-308-391j),(-440-236j),(-499-45j),(-490+146j),(-372+274j),(-227+376j),(-65+417j),(86+373j),(251+303j),(357+219j),(474+102j),(564-34j),(593-203j),(605-351j),(553-475j),(468-575j),(407-639j),(274-678j),(129-700j),(-22-675j),(-198-558j),(-285-455j),(-423-333j),(-555-122j),(-584+56j),(-546+270j),(-390+387j),(-105+381j),(-6912+3423j),(-395-272j),(-678-87j),(-775+116j),(-731+328j),(-628+471j),(-447+576j),(-273+617j),(-19+636j),(207+595j),(426+513j),(637+402j),(798+258j),(919+59j),(969-128j),(977-297j),(941-482j),(829-606j),(672-719j),(490-773j),(267-759j),(69-710j),(-154-587j),(-353-401j),(-492-156j),(-494+140j),(-403+411j),(-187+567j),(10245+0j),(-12032-32640j),(128+0j),0j
6c3b6baef921,1731984436.149516,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-481-234j),(-502-152j),(-511-52j),(-494+79j),(-422+204j),(-314+295j),(-172+369j),(-45+383j),(95+398j),(245+371j),(379+335j),(480+245j),(584+198j),(676+145j),(746+60j),(770-45j),(750-107j),(693-211j),(622-267j),(542-349j),(422-428j),(267-482j),(132-513j),(-41-547j),(-202-546j),(-373-482j),(-425-334j),(-382-56j),(-6912+3423j),(275-378j),(127-677j),(-7-807j),(-174-793j),(-291-732j),(-416-601j),(-509-433j),(-570-284j),(-629-84j),(-665+126j),(-678+309j),(-668+496j),(-646+667j),(-593+800j),(-502+897j),(-413+961j),(-294+981j),(-161+959j),(-21+899j),(111+802j),(266+675j),(366+501j),(457+293j),(504+44j),(474-235j),(338-461j),(178-594j),(10245+0j),(-11776-32640j),(128+0j),0j
6c3b6baef921,1731984436.364562,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-407+491j),(-334+598j),(-220+695j),(-8+702j),(180+613j),(312+499j),(398+337j),(439+167j),(441-12j),(402-170j),(344-344j),(265-495j),(163-623j),(50-720j),(-84-796j),(-84-796j),(-323-792j),(-435-753j),(-523-663j),(-585-559j),(-638-406j),(-676-218j),(-657-60j),(-607+128j),(-523+309j),(-390+474j),(-174+527j),(76+372j),(-6912+3423j),(-454-45j),(-671+239j),(-684+474j),(-590+650j),(-441+761j),(-268+805j),(-47+797j),(120+733j),(322+651j),(504+518j),(653+348j),(782+174j),(862-37j),(899-235j),(888-432j),(833-608j),(750-751j),(597-850j),(428-913j),(238-926j),-898j,(-180-798j),(-375-633j),(-532-402j),(-602-97j),(-553+214j),(-437+364j),(10245+0j),(-11776-32640j),(128+0j),0j
6c3b6baef921,1731984436.370161,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(346-425j),(125-532j),(-117-527j),(-325-405j),(-421-224j),(-426-29j),(-347+142j),(-214+264j),(-60+316j),(118+305j),(268+241j),(392+112j),(463-33j),(480-210j),(438-375j),(338-511j),(195-597j),(24-624j),(-145-602j),(-290-497j),(-416-357j),(-480-161j),(-463+13j),(-388+212j),(-254+349j),(-74+432j),(124+383j),(237+145j),(-6912+3423j),(-187+283j),(-16+518j),(220+567j),(413+465j),(556+298j),(606+88j),(555-140j),(453-314j),(255-439j),(43-504j),(-185-494j),(-394-411j),(-571-251j),(-680-40j),(-681+193j),(-626+419j),(-490+578j),(-286+701j),(-53+736j),(180+672j),(383+530j),(496+328j),(530+82j),(449-170j),(244-368j),(-46-421j),(-274-304j),(10245+0j),(-11776-32640j),(128+0j),0j
6c3b6baef921,1731984436.734118,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-122+261j),(6+343j),(163+370j),(341+288j),(451+146j),(525-23j),(532-190j),(487-330j),(392-457j),(285-552j),(161-596j),(29-604j),(-116-564j),(-240-493j),(-372-382j),(-439-236j),(-490-82j),(-472+76j),(-455+238j),(-410+381j),(-348+517j),(-253+621j),(-125+697j),(19+718j),(139+671j),(285+579j),(357+400j),(306+113j),(-6912+3423j),(-176+251j),(-35+395j),(148+406j),(293+301j),(415+170j),(489+4j),(529-154j),(528-328j),(502-481j),(445-598j),(362-718j),(271-784j),(129-821j),(6-817j),(-125-722j),(-239-635j),(-318-516j),(-372-357j),(-397-172j),(-373-6j),(-319+163j),(-206+316j),(-56+421j),(131+477j),(347+445j),(524+320j),(593+153j),(10245+0j),(-11520-32640j),(128+0j),0j
6c3b6baef921,1731984436.746557,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(398-56j),(219-326j),(-95-400j),(-378-222j),(-475+111j),(-338+376j),(-86+549j),(286+545j),(521+311j),(618-4j),(538-331j),(319-558j),(16-633j),(-300-549j),(-498-292j),(-527+41j),(-376+321j),(-106+466j),(181+467j),(462+312j),(609+16j),(561-310j),(370-581j),(37-702j),(-315-626j),(-563-363j),(-547-12j),(-247+234j),(-6912+3423j),(-278-160j),(-382+137j),(-253+377j),(47+433j),(316+284j),(456+3j),(415-287j),(211-546j),(-109-657j),(-456-579j),(-713-343j),(-826+1j),(-760+364j),(-523+642j),(-177+762j),(162+692j),(411+475j),(509+178j),(432-114j),(213-301j),(-49-322j),(-282-158j),(-356+113j),(-230+387j),(81+519j),(431+397j),(614+55j),(10245+0j),(-11520-32640j),(128+0j),0j
6c3b6baef921,1731984436.748680,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-406-263j),(-454-19j),(-394+190j),(-214+424j),(69+454j),(298+440j),(523+227j),(602+20j),(603-223j),(448-431j),(306-573j),(74-643j),(-129-601j),(-331-508j),(-463-322j),(-519-94j),(-494+129j),(-361+321j),(-201+472j),(46+540j),(257+525j),(473+437j),(621+266j),(721+57j),(678-210j),(531-394j),(289-482j),(-30-347j),(-6912+3423j),(323-13j),(300-288j),(154-424j),(-65-425j),(-283-327j),(-436-127j),(-493+89j),(-476+327j),(-367+547j),(-188+716j),(41+790j),(269+791j),(477+694j),(639+534j),(732+309j),(718+73j),(632-148j),(448-303j),(249-372j),(18-374j),(-174-278j),(-315-94j),(-349+140j),(-246+363j),(-41+509j),(225+528j),(448+410j),(10245+0j),(-11520-32640j),(128+0j),0j
6c3b6baef921,1731984436.835000,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-43+451j),(117+502j),(306+474j),(451+321j),(526+109j),(524-103j),(471-290j),(374-454j),(260-576j),(123-681j),(-15-764j),(-170-789j),(-296-784j),(-422-760j),(-532-702j),(-604-612j),(-654-486j),(-660-342j),(-658-201j),(-621-43j),(-570+126j),(-479+295j),(-387+435j),(-259+571j),(-110+638j),(58+680j),(220+578j),(310+293j),(-6912+3423j),(-454+186j),(-505+511j),(-425+704j),(-260+774j),(-113+789j),(57+730j),(244+630j),(378+506j),(523+338j),(640+161j),(734-24j),(796-206j),(824-394j),(801-566j),(730-710j),(653-829j),(529-899j),(383-935j),(208-920j),(31-851j),(-151-756j),(-293-611j),(-422-408j),(-502-181j),(-498+104j),(-389+353j),(-200+448j),(10245+0j),(-11008-32640j),0j,0j
6c3b6baef921,1731984436.839210,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-531-104j),(-546+9j),(-540+138j),(-425+328j),(-268+462j),(-77+527j),(111+538j),(317+492j),(451+432j),(604+353j),(714+249j),(811+133j),(860+5j),(880-127j),(859-238j),(795-335j),(702-432j),(578-489j),(445-533j),(283-565j),(118-584j),(-69-560j),(-231-536j),(-401-464j),(-546-360j),(-645-222j),(-633-33j),(-390+165j),(-6912+3423j),(21-495j),(-259-694j),(-471-688j),(-612-585j),(-680-433j),(-704-265j),(-691-72j),(-641+110j),(-557+301j),(-460+495j),(-326+667j),(-199+804j),(-37+912j),(133+980j),(287+996j),(434+970j),(556+906j),(662+782j),(720+636j),(761+447j),(767+238j),(703+55j),(599-162j),(434-361j),(185-498j),(-98-541j),(-265-488j),(10245+0j),(-11008-32640j),0j,0j
6c3b6baef921,1731984436.851994,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(296+135j),(369+27j),(392-117j),(309-255j),(171-345j),(31-384j),(-113-371j),(-250-325j),(-358-277j),(-460-196j),(-539-102j),(-587-1j),(-607+105j),(-617+202j),(-591+293j),(-533+370j),(-462+417j),(-362+454j),(-251+472j),(-131+467j),(-8+452j),(137+404j),(239+357j),(357+262j),(438+160j),(487+25j),(436-115j),(237-207j),(-6912+3423j),(116+354j),(366+418j),(539+356j),(612+233j),(641+124j),(607-13j),(542-160j),(459-264j),(335-375j),(193-471j),(39-541j),(-105-588j),(-265-603j),(-406-599j),(-535-545j),(-639-472j),(-707-375j),(-743-259j),(-745-117j),(-699+26j),(-620+180j),(-508+280j),(-339+380j),(-147+437j),(74+429j),(278+331j),(349+172j),(10245+0j),(-11008-32640j),(128+0j),0j
