mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731973193.377777,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(46+7j),(159+31j),(283-27j),(343-222j),(288-438j),(176-608j),(-8-718j),(-177-780j),(-381-756j),(-563-671j),(-690-541j),(-750-359j),(-737-174j),(-676+4j),(-549+152j),(-365+252j),(-151+285j),(70+240j),(275+151j),(424+0j),(543-181j),(592-367j),(561-572j),(460-745j),(271-845j),(24-850j),(-219-694j),(-319-310j),(-2561-4704j),(332-213j),(212-454j),(-12-487j),(-211-356j),(-339-139j),(-393+106j),(-356+358j),(-246+602j),(-58+790j),(184+885j),(431+897j),(658+837j),(847+687j),(967+490j),(1002+220j),(928-33j),(789-258j),(549-430j),(273-506j),(-6-484j),(-256-366j),(-459-148j),(-541+157j),(-476+473j),(-240+752j),(127+871j),(444+780j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731973193.387817,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(132-205j),(40-238j),(-61-278j),(-194-344j),(-364-362j),(-529-364j),(-644-322j),(-743-289j),(-803-262j),(-863-198j),(-866-151j),(-840-89j),(-779-17j),(-687+39j),(-568+103j),(-419+155j),(-259+203j),(-64+247j),(114+284j),(291+317j),(456+352j),(604+372j),(719+365j),(811+336j),(849+276j),(845+167j),(734+6j),(425-150j),(-2561-4704j),(-78+392j),(116+494j),(256+417j),(322+264j),(354+67j),(375-150j),(371-340j),(358-539j),(335-724j),(288-868j),(231-987j),(174-1059j),(101-1091j),(23-1087j),(-80-1034j),(-179-927j),(-263-793j),(-345-610j),(-409-420j),(-438-196j),(-447+12j),(-413+248j),(-318+466j),(-170+656j),(58+790j),(324+819j),(514+732j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731973193.392391,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(130+143j),(164+148j),(229+154j),(393+86j),(517-31j),(616-169j),(659-288j),(696-401j),(675-508j),(643-586j),(594-639j),(510-656j),(437-653j),(322-617j),(193-553j),(68-454j),(-75-322j),(-190-169j),(-309-10j),(-404+144j),(-492+301j),(-555+436j),(-562+575j),(-549+669j),(-486+743j),(-372+787j),(-372+787j),(65+440j),(-2561-4704j),(-382-127j),(-503+54j),(-454+211j),(-275+304j),(-85+363j),(134+383j),(340+379j),(540+351j),(728+293j),(870+232j),(1003+160j),(1083+67j),(1104-37j),(1091-156j),(983-254j),(885-358j),(697-426j),(514-488j),(281-495j),(51-467j),(-151-420j),(-383-303j),(-550-130j),(-678+90j),(-716+372j),(-607+657j),(-439+786j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731973193.404557,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-251+36j),(-243+81j),(-258+136j),(-303+270j),(-332+407j),(-360+526j),(-385+618j),(-453+667j),(-459+728j),(-481+749j),(-503+732j),(-500+682j),(-483+624j),(-432+547j),(-350+475j),(-240+391j),(-98+315j),(62+253j),(229+219j),(384+221j),(536+241j),(638+324j),(748+330j),(810+370j),(818+383j),(810+357j),(716+234j),(456+26j),(-2561-4704j),(-272+301j),(-214+466j),(-102+484j),(35+413j),(172+333j),(326+250j),(479+206j),(648+134j),(792+110j),(920+117j),(1025+131j),(1079+167j),(1102+184j),(1082+190j),(1026+173j),(938+142j),(832+86j),(704-1j),(568-102j),(423-221j),(319-318j),(148-458j),(-2-574j),(-171-669j),(-382-712j),(-592-674j),(-690-593j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731973193.622226,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-39-8j),(68+57j),(204+38j),(288-102j),(293-271j),(238-424j),(117-554j),(-7-627j),(-163-658j),(-310-637j),(-444-563j),(-547-450j),(-581-312j),(-590-160j),(-535-8j),(-425+120j),(-273+213j),(-88+249j),(96+247j),(286+187j),(436+87j),(558-62j),(610-235j),(597-421j),(490-579j),(308-679j),(49-649j),(-163-369j),(-2561-4704j),(376-81j),(360-360j),(181-488j),(-55-466j),(-257-351j),(-420-142j),(-495+101j),(-507+361j),(-416+605j),(-246+818j),(-34+937j),(208+992j),(448+942j),(660+807j),(820+590j),(870+332j),(846+57j),(700-195j),(499-389j),(223-507j),(-64-509j),(-339-400j),(-564-155j),(-653+155j),(-571+520j),(-293+795j),(74+857j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731973194.211022,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-8-163j),(-157-96j),(-248+41j),(-230+233j),(-112+384j),(61+474j),(245+484j),(432+426j),(560+314j),(640+158j),(660-10j),(605-168j),(507-304j),(348-393j),(174-427j),(-8-395j),(-179-297j),(-297-146j),(-376+39j),(-377+223j),(-333+407j),(-205+563j),(-67+650j),(109+669j),(278+607j),(425+465j),(475+233j),(317-32j),(-2561-4704j),(4+278j),(215+280j),(336+122j),(338-82j),(246-277j),(87-436j),(-132-518j),(-339-534j),(-549-471j),(-706-341j),(-823-160j),(-864+40j),(-816+262j),(-699+442j),(-501+566j),(-275+629j),(-46+581j),(170+468j),(319+281j),(381+36j),(352-196j),(228-399j),(19-528j),(-258-560j),(-541-430j),(-739-148j),(-749+137j),(10245+0j),(-10240-32640j),(384+0j),0j
6c3b6baef921,1731973194.226252,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-155-51j),(-246-44j),(-342+17j),(-375+207j),(-341+403j),(-257+546j),(-147+673j),(-6+749j),(87+785j),(214+776j),(311+724j),(400+649j),(453+546j),(499+403j),(503+248j),(469+80j),(412-106j),(328-276j),(218-428j),(102-554j),(-19-661j),(-182-725j),(-279-749j),(-391-730j),(-501-660j),(-580-529j),(-573-299j),(-381-18j),(-2561-4704j),(124-313j),(-67-434j),(-244-373j),(-386-210j),(-472-18j),(-528+191j),(-528+424j),(-515+601j),(-459+773j),(-384+930j),(-278+1040j),(-155+1088j),(-8+1095j),(134+1040j),(288+937j),(404+777j),(498+587j),(546+353j),(550+109j),(497-146j),(395-389j),(238-570j),(18-716j),(-252-796j),(-574-727j),(-841-531j),(-937-295j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731973194.227278,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-172-163j),(-221-166j),(-300-148j),(-434-5j),(-494+166j),(-514+345j),(-485+490j),(-440+603j),(-360+694j),(-276+756j),(-170+781j),(-64+748j),(42+695j),(143+610j),(238+501j),(319+348j),(391+178j),(420+2j),(445-179j),(438-341j),(428-504j),(394-620j),(334-739j),(240-813j),(123-809j),(-30-772j),(-173-623j),(-244-298j),(-2561-4704j),(319-112j),(282-330j),(119-434j),(-79-425j),(-285-384j),(-483-306j),(-647-207j),(-795-79j),(-909+69j),(-969+204j),(-999+343j),(-988+464j),(-918+579j),(-816+675j),(-632+716j),(-454+749j),(-249+712j),(-31+646j),(175+531j),(367+376j),(515+199j),(629-31j),(653-289j),(599-550j),(436-807j),(152-975j),(-85-969j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731973194.299485,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(236-444j),(29-529j),(-177-525j),(-353-451j),(-456-329j),(-559-227j),(-588-101j),(-618+15j),(-626+133j),(-608+237j),(-573+343j),(-525+417j),(-478+493j),(-400+569j),(-336+631j),(-261+682j),(-170+718j),(-75+718j),(5+729j),(81+696j),(152+695j),(221+650j),(273+620j),(322+579j),(357+532j),(385+486j),(424+430j),(462+375j),(-2561-4704j),(496+262j),(501+211j),(524+154j),(514+88j),(519+19j),(502-50j),(474-118j),(441-189j),(403-255j),(338-306j),(274-364j),(203-405j),(118-434j),(27-441j),(-78-430j),(-168-419j),(-244-369j),(-325-314j),(-405-227j),(-456-138j),(-483-24j),(-493+87j),(-462+217j),(-397+343j),(-281+477j),(-91+568j),(139+560j),(10246+9984j),(-10064-32640j),(1152+0j),0j
6c3b6baef921,1731973194.388236,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-251-47j),(-336-22j),(-414+46j),(-443+211j),(-416+367j),(-372+501j),(-332+589j),(-298+659j),(-241+710j),(-186+738j),(-130+745j),(-80+712j),(-19+678j),(68+621j),(142+550j),(237+473j),(341+377j),(441+283j),(537+203j),(618+121j),(704+55j),(766+10j),(801-62j),(806-121j),(779-164j),(703-242j),(537-302j),(239-282j),(-2561-4704j),(136+304j),(348+286j),(464+168j),(517+11j),(552-146j),(571-303j),(601-435j),(608-567j),(611-684j),(605-764j),(595-834j),(559-870j),(490-887j),(404-879j),(304-841j),(166-798j),(34-714j),(-119-637j),(-266-536j),(-418-429j),(-544-328j),(-670-162j),(-764-8j),(-828+185j),(-805+412j),(-699+620j),(-571+705j),(10245+0j),(-10240-32640j),(128+0j),0j
