mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731973669.370711,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(123-420j),(-2-464j),(-146-494j),(-357-491j),(-548-418j),(-691-307j),(-780-189j),(-821-71j),(-814+51j),(-775+149j),(-706+234j),(-599+310j),(-468+352j),(-319+376j),(-156+383j),(14+359j),(188+321j),(334+264j),(474+203j),(575+139j),(660+65j),(716-3j),(727-71j),(710-146j),(650-208j),(544-277j),(371-305j),(122-241j),(-2561-4704j),(147+150j),(254+50j),(267-70j),(213-200j),(145-312j),(62-417j),(-13-487j),(-87-547j),(-167-588j),(-219-609j),(-277-602j),(-315-577j),(-352-518j),(-378-434j),(-379-339j),(-375-231j),(-351-114j),(-317+4j),(-264+119j),(-194+230j),(-121+324j),(-11+398j),(99+445j),(232+462j),(377+415j),(494+311j),(546+200j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731973669.706524,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(26+527j),(173+489j),(309+436j),(521+364j),(686+219j),(787+72j),(827-84j),(838-183j),(838-183j),(707-420j),(600-479j),(459-503j),(308-495j),(151-456j),(-12-392j),(-166-309j),(-309-210j),(-430-87j),(-529+30j),(-598+138j),(-656+251j),(-674+304j),(-658+408j),(-601+463j),(-506+496j),(-377+506j),(-192+453j),(4+276j),(-2561-4704j),(-200-59j),(-242+78j),(-173+200j),(-56+281j),(74+356j),(205+404j),(305+440j),(422+440j),(511+424j),(572+401j),(613+358j),(631+303j),(620+237j),(594+160j),(525+72j),(451-12j),(352-104j),(236-172j),(115-229j),(-21-274j),(-135-299j),(-280-288j),(-409-244j),(-517-155j),(-588-19j),(-604+152j),(-596+250j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731973669.706862,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-323+119j),(-296+325j),(-171+513j),(104+625j),(412+593j),(638+449j),(810+229j),(851+7j),(806-252j),(680-449j),(489-580j),(267-628j),(52-575j),(-136-460j),(-276-277j),(-343-65j),(-331+159j),(-250+361j),(-111+513j),(74+618j),(251+649j),(417+611j),(582+507j),(669+338j),(703+142j),(623-64j),(438-231j),(144-233j),(-2561-4704j),(174+115j),(254-43j),(174-195j),(21-293j),(-166-314j),(-348-286j),(-490-201j),(-604-58j),(-650+92j),(-656+263j),(-587+400j),(-479+516j),(-329+581j),(-167+576j),(-6+537j),(132+429j),(233+287j),(275+115j),(253-54j),(181-209j),(60-325j),(-118-382j),(-318-356j),(-480-247j),(-586-41j),(-581+211j),(-450+388j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731973670.095040,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(7167+3075j),(124+380j),(325+367j),(533+237j),(673+36j),(722-168j),(715-365j),(624-556j),(536-651j),(396-722j),(240-747j),(78-716j),(-85-616j),(-206-490j),(-303-327j),(-368-139j),(-380+50j),(-357+249j),(-303+424j),(-221+563j),(-120+673j),(32+741j),(113+765j),(242+727j),(354+647j),(438+492j),(447+274j),(292+25j),(-2561-4704j),(-71+225j),(88+275j),(225+191j),(314+40j),(348-114j),(363-272j),(315-435j),(284-542j),(205-648j),(113-711j),(7-737j),(-93-725j),(-186-673j),(-257-588j),(-319-464j),(-354-329j),(-355-188j),(-324-31j),(-261+119j),(-160+247j),(-42+346j),(85+402j),(249+417j),(409+360j),(561+219j),(646+28j),(622-159j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731973670.115142,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(45+375j),(150+398j),(281+400j),(497+324j),(653+166j),(756-2j),(788-168j),(765-337j),(724-436j),(642-522j),(525-580j),(381-597j),(230-580j),(78-525j),(-78-451j),(-216-330j),(-348-203j),(-437-47j),(-522+99j),(-567+234j),(-598+361j),(-566+498j),(-556+552j),(-472+614j),(-360+626j),(-214+620j),(-47+512j),(97+275j),(-2561-4704j),(-231+9j),(-229+172j),(-124+280j),(25+317j),(187+336j),(329+324j),(469+283j),(561+263j),(649+201j),(690+148j),(727+71j),(722+11j),(686-65j),(631-130j),(523-193j),(412-245j),(287-277j),(137-287j),(-4-291j),(-147-255j),(-286-198j),(-398-131j),(-486-27j),(-543+125j),(-532+297j),(-455+469j),(-336+535j),(10245+0j),(-7237-32640j),(128+0j),0j
6c3b6baef921,1731973670.117988,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(37+302j),(201+342j),(395+297j),(589+85j),(647-197j),(594-469j),(436-665j),(209-811j),(3-832j),(-217-789j),(-412-668j),(-524-471j),(-553-261j),(-526-49j),(-428+156j),(-256+309j),(-39+402j),(185+396j),(401+356j),(559+240j),(692+95j),(742-117j),(729-270j),(639-441j),(472-545j),(260-597j),(31-521j),(-138-258j),(-2561-4704j),(206-106j),(107-264j),(-73-295j),(-230-198j),(-372-74j),(-452+103j),(-452+304j),(-425+453j),(-325+602j),(-205+681j),(-50+724j),(99+718j),(247+649j),(365+538j),(418+357j),(440+188j),(385+26j),(290-126j),(148-244j),(-26-288j),(-202-286j),(-365-212j),(-474-66j),(-538+131j),(-489+369j),(-318+576j),(-102+627j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731973670.120552,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-414-91j),(-453+18j),(-482+145j),(-468+370j),(-390+564j),(-268+709j),(-131+795j),839j,(131+828j),(245+788j),(336+710j),(404+591j),(442+450j),(449+293j),(446+123j),(404-58j),(338-222j),(255-379j),(162-517j),(72-616j),(-27-701j),(-110-735j),(-201-748j),(-279-720j),(-351-639j),(-408-516j),(-413-322j),(-284-69j),(-2561-4704j),(121-198j),(-11-288j),(-151-261j),(-278-162j),(-384-52j),(-458+67j),(-517+176j),(-556+275j),(-569+376j),(-563+451j),(-537+508j),(-499+543j),(-418+558j),(-331+550j),(-221+512j),(-112+465j),(-7+395j),(111+303j),(200+191j),(286+76j),(347-43j),(378-174j),(372-315j),(328-455j),(210-584j),(38-661j),(-91-646j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731973670.160024,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-236-217j),(-402-79j),(-489+141j),(-431+442j),(-226+663j),(48+779j),(322+765j),(556+662j),(735+468j),(810+235j),(793+1j),(685-207j),(507-364j),(286-447j),(59-443j),(-164-352j),(-346-192j),(-454+17j),(-491+247j),(-452+450j),(-343+635j),(-191+751j),(11+797j),(200+764j),(377+651j),(503+444j),(495+182j),(291-61j),(-2561-4704j),(39+226j),(217+163j),(283+1j),(243-192j),(109-351j),(-48-454j),(-222-498j),(-415-484j),(-568-412j),(-682-283j),(-747-118j),(-742+33j),(-681+195j),(-576+330j),(-404+412j),(-221+438j),(-45+397j),(107+303j),(225+156j),(280-24j),(260-198j),(163-363j),(13-480j),(-212-529j),(-439-437j),(-621-235j),(-649+6j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731973670.367845,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(399+68j),(443-33j),(475-159j),(454-379j),(347-569j),(213-712j),(58-785j),(-77-816j),(-214-794j),(-329-743j),(-419-644j),(-473-520j),(-499-380j),(-494-227j),(-469-63j),(-408+100j),(-328+254j),(-215+397j),(-104+512j),(5+589j),(104+649j),(213+677j),(297+668j),(387+620j),(442+530j),(478+408j),(458+215j),(286+4j),(-2561-4704j),(-69+232j),(82+301j),(220+244j),(329+122j),(397+3j),(440-133j),(475-263j),(471-376j),(459-489j),(421-560j),(366-610j),(304-641j),(214-650j),(120-628j),(8-560j),(-87-488j),(-172-379j),(-247-266j),(-310-128j),(-342+15j),(-359+151j),(-326+290j),(-269+425j),(-166+531j),(1+610j),(194+606j),(306+536j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731973670.392965,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-294+310j),(-67+439j),(193+452j),(482+336j),(652+83j),(709-204j),(620-472j),(446-673j),(203-783j),(-49-802j),(-281-716j),(-449-532j),(-531-307j),(-525-72j),(-444+147j),(-270+308j),(-52+412j),(181+396j),(394+325j),(549+182j),(654+0j),(667-203j),(612-399j),(467-556j),(262-629j),(32-615j),(-178-466j),(-232-165j),(-2561-4704j),(130-200j),(-44-311j),(-235-242j),(-345-64j),(-381+139j),(-332+340j),(-216+495j),(-51+616j),(153+655j),(339+612j),(507+504j),(613+360j),(658+164j),(643-39j),(519-219j),(369-347j),(168-403j),(-37-372j),(-219-275j),(-353-116j),(-400+74j),(-367+284j),(-221+476j),(-6+585j),(274+566j),(522+398j),(644+167j),(10245+0j),(-10752-32640j),(1152+0j),0j
