mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731974135.841929,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-158+147j),(-62+252j),(70+311j),(249+285j),(386+186j),(483+61j),(528-77j),(520-225j),(496-330j),(430-429j),(336-500j),(229-532j),(104-527j),(-27-500j),(-148-431j),(-254-335j),(-343-216j),(-391-57j),(-421+95j),(-413+227j),(-390+359j),(-313+485j),(-240+554j),(-126+596j),590j,(134+532j),(246+379j),(236+129j),(-2561-4704j),(-158+193j),(-36+337j),(136+353j),(281+279j),(408+178j),(494+46j),(546-109j),(562-225j),(545-359j),(486-464j),(404-550j),(304-607j),(183-626j),(56-613j),(-75-533j),(-198-445j),(-287-322j),(-351-171j),(-383-9j),(-367+161j),(-311+327j),(-224+460j),(-77+546j),(107+595j),(325+554j),(512+419j),(596+248j),(10245+0j),(-9984-32640j),(128+0j),0j
6c3b6baef921,1731974135.845951,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(43-186j),(-59-247j),(-195-252j),(-348-123j),(-432+73j),(-412+253j),(-327+429j),(-197+535j),(-36+588j),(128+590j),(284+528j),(406+413j),(476+265j),(490+95j),(452-77j),(353-227j),(203-339j),(27-405j),(-152-402j),(-326-349j),(-461-255j),(-563-104j),(-599+50j),(-572+218j),(-472+366j),(-309+464j),(-83+451j),(101+249j),(-2561-4704j),(-231+90j),(-176+298j),(-1+378j),(202+350j),(365+257j),(483+103j),(549-77j),(546-255j),(480-429j),(369-560j),(224-652j),(62-679j),(-119-645j),(-268-543j),(-383-385j),(-440-210j),(-442-19j),(-359+158j),(-231+311j),(-53+401j),(139+430j),(334+376j),(507+238j),(607+30j),(594-237j),(452-480j),(242-578j),(10245+0j),(-9728-32640j),(128+0j),0j
6c3b6baef921,1731974136.133660,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-233+180j),(-105+284j),(47+333j),(238+308j),(382+221j),(487+88j),(538-49j),(541-179j),(494-319j),(419-417j),(319-491j),(202-517j),(70-502j),(-57-462j),(-176-384j),(-270-276j),(-343-146j),(-388+7j),(-397+159j),(-368+294j),(-321+417j),(-247+507j),(-141+581j),(-21+601j),(103+572j),(222+492j),(305+322j),(248+77j),(-2561-4704j),(-106+208j),(37+311j),(200+279j),(322+169j),(406+31j),(450-122j),(448-264j),(412-410j),(338-531j),(249-609j),(131-667j),(20-678j),(-106-642j),(-226-575j),(-320-458j),(-391-317j),(-412-171j),(-390+3j),(-343+158j),(-238+290j),(-124+392j),(43+452j),(213+454j),(384+388j),(532+237j),(605+18j),(583-165j),(10245+0j),(-9984-32640j),(128+0j),0j
6c3b6baef921,1731974136.564717,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-151+360j),(-44+379j),(70+388j),(246+368j),(407+285j),(520+186j),(593+61j),(618-38j),(618-148j),(597-244j),(545-331j),(462-390j),(367-428j),(258-461j),(129-463j),(1-451j),(-131-419j),(-262-360j),(-373-305j),(-465-230j),(-544-163j),(-597-80j),(-632-3j),(-625+89j),(-584+173j),(-496+251j),(-342+309j),(-105+251j),(-2561-4704j),(-196-160j),(-343-53j),(-372+98j),(-340+236j),(-280+363j),(-199+482j),(-113+563j),(-18+632j),(70+678j),(163+698j),(240+687j),(321+649j),(395+588j),(448+500j),(475+361j),(481+235j),(469+88j),(436-54j),(376-200j),(286-334j),(185-453j),(49-545j),(-110-587j),(-277-584j),(-463-511j),(-618-364j),(-672-219j),(10245+0j),(-9728-32640j),(128+0j),0j
6c3b6baef921,1731974136.731575,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-193+175j),(-116+281j),(31+358j),(296+303j),(475+97j),(547-175j),(472-430j),(267-643j),(39-731j),(-219-729j),(-461-613j),(-605-407j),(-674-158j),(-626+89j),(-491+300j),(-269+427j),(-19+454j),(221+365j),(415+198j),(499-32j),(505-287j),(373-516j),(213-666j),(-40-724j),(-284-663j),(-492-478j),(-553-175j),(-331+111j),(-2561-4704j),(-124-311j),(-378-207j),(-458+43j),(-358+274j),(-149+437j),(116+496j),(392+409j),(580+270j),(714+19j),(723-249j),(631-510j),(442-708j),(177-813j),(-105-807j),(-353-654j),(-536-441j),(-581-172j),(-531+109j),(-362+325j),(-107+445j),(173+441j),(411+308j),(559+60j),(565-259j),(384-559j),(45-723j),(-258-651j),(10245+0j),(-9984-32640j),(128+0j),0j
6c3b6baef921,1731974136.737878,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-298+148j),(-183+262j),(-51+345j),(129+390j),(298+384j),(448+344j),(563+281j),(650+225j),(708+136j),(737+71j),(745+1j),(728-63j),(680-125j),(609-189j),(519-249j),(404-304j),(266-365j),(118-412j),(-13-449j),(-144-485j),(-260-510j),(-360-524j),(-457-513j),(-535-481j),(-585-424j),(-603-328j),(-561-163j),(-348+32j),(-2561-4704j),(111-307j),(-41-428j),(-189-414j),(-313-322j),(-405-216j),(-490-88j),(-562+27j),(-619+154j),(-660+268j),(-682+361j),(-692+450j),(-669+512j),(-625+566j),(-549+603j),(-427+606j),(-313+604j),(-193+579j),(-44+535j),(97+467j),(237+383j),(355+304j),(472+175j),(563+37j),(618-121j),(612-325j),(522-512j),(391-627j),(10245+0j),(-9984-32640j),(128+0j),0j
6c3b6baef921,1731974136.844206,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(408-74j),(338-203j),(257-325j),(104-526j),(-100-657j),(-303-724j),(-499-736j),(-681-689j),(-777-634j),(-864-551j),(-916-442j),(-913-315j),(-859-184j),(-784-50j),(-668+97j),(-520+225j),(-352+339j),(-147+444j),(33+528j),(195+585j),(345+625j),(509+618j),(580+622j),(675+560j),(713+470j),(714+336j),(637+137j),(373-72j),(-2561-4704j),(-67+318j),(125+395j),(284+328j),(403+172j),(481+17j),(556-151j),(586-346j),(624-462j),(642-603j),(621-693j),(594-770j),(545-819j),(462-842j),(372-829j),(221-770j),(99-692j),(-36-577j),(-167-437j),(-308-275j),(-413-89j),(-495+117j),(-542+303j),(-538+520j),(-466+745j),(-281+956j),(-10+1085j),(205+1065j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731974136.849159,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(240+313j),(328+181j),(401+41j),(501-182j),(508-416j),(479-640j),(387-795j),(259-936j),(176-1003j),(58-1038j),(-57-1019j),(-165-944j),(-254-840j),(-329-702j),(-401-537j),(-444-341j),(-471-137j),(-454+77j),(-449+274j),(-412+441j),(-392+613j),(-300+747j),(-279+824j),(-194+867j),(-90+845j),(40+790j),(179+621j),(231+299j),(-2561-4704j),(-312+85j),(-286+280j),(-168+407j),(19+420j),(212+448j),(375+423j),(563+386j),(670+376j),(800+312j),(869+265j),(930+198j),(950+138j),(924+62j),(878-10j),(760-93j),(652-178j),(495-254j),(315-328j),(125-372j),(-82-395j),(-297-400j),(-489-372j),(-662-296j),(-848-132j),(-950+89j),(-974+374j),(-886+563j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731974136.853552,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-257+150j),(-137+308j),(115+389j),(482+218j),(629-225j),(427-664j),(-32-901j),(-573-775j),(-921-421j),(-1032+111j),(-823+610j),(-384+897j),(107+876j),(493+608j),(644+177j),(501-225j),(157-443j),(-244-399j),(-506-117j),(-554+278j),(-354+630j),(72+800j),(466+737j),(787+403j),(860-47j),(648-461j),(211-614j),(-171-332j),(-2561-4704j),(189-263j),(-131-387j),(-382-194j),(-396+164j),(-179+442j),(198+542j),(568+359j),(759+26j),(736-407j),(486-764j),(89-939j),(-363-879j),(-715-576j),(-848-145j),(-711+283j),(-391+523j),(-10+551j),(289+326j),(372-16j),(226-336j),(-124-486j),(-483-365j),(-721+19j),(-664+525j),(-205+938j),(449+910j),(876+483j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731974136.857545,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-20-317j),(-107-332j),(-228-339j),(-459-264j),(-665-108j),(-787+74j),(-868+276j),(-872+428j),(-843+581j),(-769+714j),(-665+798j),(-516+839j),(-345+811j),(-181+758j),(-4+664j),(155+528j),(301+359j),(425+177j),(519-8j),(594-203j),(635-351j),(644-501j),(624-624j),(548-719j),(431-762j),(268-755j),(64-659j),(-115-362j),(-2561-4704j),(324+12j),(364-204j),(246-339j),(75-428j),(-96-470j),(-292-485j),(-451-479j),(-615-454j),(-747-407j),(-849-341j),(-904-262j),(-929-184j),(-910-79j),(-852+12j),(-751+117j),(-612+197j),(-462+291j),(-280+337j),(-74+374j),(120+392j),(329+365j),(535+294j),(709+166j),(833-41j),(901-290j),(837-574j),(682-723j),(10245+0j),(-11008-32640j),(128+0j),0j
