mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731985137.498490,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(137-300j),(4-366j),(-148-376j),(-287-295j),(-384-165j),(-421-31j),(-410+116j),(-364+235j),(-284+335j),(-184+418j),(-67+472j),(57+498j),(183+487j),(306+462j),(407+404j),(487+315j),(539+220j),(557+104j),(553-3j),(504-108j),(450-207j),(346-298j),(236-361j),(81-392j),(-74-386j),(-229-331j),(-330-198j),(-271+6j),(-6912+3423j),(67-354j),(-160-560j),(-389-596j),(-569-521j),(-697-424j),(-768-280j),(-784-120j),(-753+35j),(-658+198j),(-521+341j),(-340+455j),(-148+529j),(85+544j),(306+522j),(518+417j),(697+292j),(806+120j),(881-73j),(882-277j),(811-485j),(678-659j),(477-792j),(212-837j),(-68-804j),(-347-651j),(-347-651j),(-590-148j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731985137.774312,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-483-57j),(-518+41j),(-533+168j),(-443+334j),(-281+443j),(-139+484j),(14+489j),(169+443j),(256+361j),(363+272j),(452+155j),(514+20j),(548-117j),(554-248j),(545-373j),(500-486j),(432-573j),(336-626j),(251-657j),(149-662j),(42-634j),(-90-576j),(-179-512j),(-287-375j),(-375-232j),(-417-64j),(-366+100j),(-175+203j),(-6912+3423j),(-219-315j),(-537-301j),(-745-199j),(-850-34j),(-894+99j),(-893+242j),(-818+384j),(-735+450j),(-587+543j),(-414+588j),(-221+605j),(-7+591j),(214+526j),(417+443j),(596+291j),(745+138j),(827-34j),(881-221j),(871-406j),(793-582j),(656-765j),(490-858j),(258-901j),(-11-887j),(-297-760j),(-510-525j),(-575-323j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731985137.782743,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-244-400j),(-364-375j),(-490-303j),(-552-105j),(-539+63j),(-471+224j),(-356+334j),(-221+415j),(-81+442j),(63+445j),(218+422j),(343+371j),(470+292j),(577+199j),(659+91j),(702-27j),(711-152j),(683-254j),(628-359j),(537-414j),(437-473j),(305-513j),(172-507j),(9-483j),(-143-412j),(-287-312j),(-366-137j),(-263+68j),(-6912+3423j),(-9-379j),(-275-552j),(-532-561j),(-700-486j),(-830-382j),(-885-247j),(-907-84j),(-865+36j),(-779+193j),(-650+316j),(-482+434j),(-296+523j),(-67+576j),(175+585j),(397+536j),(612+448j),(767+327j),(894+154j),(953-32j),(962-234j),(904-441j),(776-612j),(578-741j),(315-834j),(-9-818j),(-317-663j),(-443-482j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731985137.884155,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-21-596j),(-323-501j),(-509-305j),(-572-61j),(-544+137j),(-461+302j),(-342+413j),(-215+514j),(-65+520j),(73+512j),(192+477j),(309+408j),(399+320j),(464+214j),(503+107j),(517-15j),(503-130j),(460-234j),(400-337j),(315-415j),(225-477j),(131-539j),(21-548j),(-85-555j),(-186-538j),(-289-509j),(-386-461j),(-476-396j),(-6912+3423j),(-643-220j),(-687-128j),(-734-6j),(-751+132j),(-744+276j),(-712+421j),(-661+589j),(-544+712j),(-400+829j),(-237+920j),(-46+972j),(142+980j),(354+937j),(552+845j),(729+703j),(867+514j),(958+306j),(994+56j),(970-166j),(880-410j),(730-646j),(517-798j),(238-908j),(-70-924j),(-399-821j),(-694-568j),(-858-182j),(10246+2816j),(-10060-32640j),(1152+0j),0j
6c3b6baef921,1731985137.904105,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(555-22j),(476-268j),(315-438j),(136-509j),(-16-517j),(-171-483j),(-269-420j),(-371-331j),(-421-252j),(-463-158j),(-485-48j),(-485+42j),(-471+129j),(-438+205j),(-396+285j),(-349+360j),(-286+419j),(-218+467j),(-128+496j),(-44+516j),(41+524j),(114+538j),(192+511j),(264+490j),(339+464j),(402+427j),(468+378j),(535+329j),(-6912+3423j),(645+205j),(698+141j),(736+55j),(768-35j),(792-136j),(801-250j),(809-381j),(757-494j),(700-615j),(616-730j),(504-827j),(376-919j),(231-983j),(72-1015j),(-100-1013j),(-271-977j),(-444-903j),(-599-791j),(-733-648j),(-840-479j),(-937-295j),(-950-60j),(-925+179j),(-823+426j),(-632+664j),(-337+834j),(37+875j),(10246-31488j),(-10056-32640j),(1152+0j),0j
6c3b6baef921,1731985137.931111,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(395+36j),(398-40j),(397-125j),(335-250j),(231-336j),(133-383j),(24-396j),(-88-386j),(-171-349j),(-257-291j),(-324-246j),(-382-170j),(-439-87j),(-475-18j),(-505+80j),(-502+151j),(-469+215j),(-435+279j),(-377+332j),(-300+364j),(-231+393j),(-120+414j),(-35+396j),(79+348j),(189+302j),(296+218j),(333+81j),(235-70j),(-6912+3423j),(-12+330j),(198+495j),(389+532j),(540+493j),(633+422j),(695+328j),(719+199j),(690+110j),(649-23j),(561-150j),(448-269j),(312-393j),(148-487j),(-33-558j),(-234-583j),(-410-593j),(-572-551j),(-710-470j),(-806-350j),(-870-209j),(-900-25j),(-845+107j),(-761+273j),(-608+447j),(-365+564j),(-98+587j),(78+542j),(10245+0j),(-10752-32640j),(1152+0j),0j
6c3b6baef921,1731985137.936003,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(353+198j),(384+120j),(410+33j),(401-104j),(351-223j),(269-306j),(184-358j),(100-377j),(1-394j),(-99-384j),(-195-371j),(-276-325j),(-353-272j),(-416-217j),(-476-154j),(-505-84j),(-526-12j),(-520+49j),(-498+115j),(-452+174j),(-392+238j),(-331+271j),(-234+328j),(-119+350j),(6+360j),(133+340j),(232+249j),(231+68j),(-6912+3423j),(-190+267j),(-115+523j),(24+652j),(149+712j),(270+712j),(367+675j),(425+624j),(498+511j),(529+382j),(542+228j),(515+53j),(480-107j),(410-283j),(323-447j),(205-588j),(70-702j),(-69-780j),(-222-802j),(-362-792j),(-496-742j),(-598-669j),(-705-515j),(-747-324j),(-739-98j),(-653+144j),(-475+343j),(-312+437j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731985137.942193,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-326-252j),(-351-215j),(-380-173j),(-409-78j),(-415+23j),(-404+84j),(-383+146j),(-334+213j),(-297+242j),(-262+296j),(-225+346j),(-189+377j),(-163+423j),(-130+464j),(-105+501j),(-90+520j),(-55+528j),(-53+524j),(-25+509j),(-5+486j),(23+454j),(67+422j),(118+385j),(167+327j),(229+263j),(294+213j),(320+101j),(236-34j),(-6912+3423j),(-129+301j),(-41+525j),(49+640j),(116+701j),(150+731j),(188+734j),(221+709j),(229+656j),(259+601j),(292+501j),(339+387j),(393+290j),(477+163j),(549+47j),(609-71j),(671-181j),(727-260j),(751-343j),(759-412j),(736-469j),(698-538j),(644-568j),(534-604j),(398-630j),(202-639j),(4-589j),(-107-527j),(10245+0j),(-10752-32640j),(128+0j),0j
6c3b6baef921,1731985138.012351,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(335+103j),(394+43j),(447-53j),(414-233j),(321-381j),(200-479j),(69-537j),(-73-549j),(-183-523j),(-296-483j),(-403-428j),(-476-343j),(-535-246j),(-570-133j),(-592-27j),(-574+87j),(-532+203j),(-457+296j),(-372+374j),(-276+433j),(-169+471j),(-31+500j),(77+488j),(220+442j),(345+361j),(442+239j),(462+56j),(293-125j),(-6912+3423j),(46+398j),(342+525j),(579+498j),(740+376j),(837+247j),(877+83j),(873-88j),(813-217j),(707-368j),(553-482j),(376-577j),(173-650j),(-71-663j),(-297-640j),(-522-538j),(-719-415j),(-872-253j),(-964-47j),(-995+157j),(-965+381j),(-872+611j),(-723+767j),(-486+893j),(-194+955j),(156+897j),(460+701j),(588+491j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731985138.018382,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-243+309j),(-69+407j),(121+427j),(323+361j),(448+218j),(529+61j),(536-92j),(505-262j),(442-367j),(347-467j),(235-555j),(105-576j),(-16-600j),(-157-585j),(-286-534j),(-405-450j),(-499-331j),(-523-196j),(-553-57j),(-517+74j),(-488+218j),(-385+353j),(-291+434j),(-127+508j),(35+513j),(208+487j),(344+333j),(327+61j),(-6912+3423j),(-156+389j),(63+643j),(334+739j),(536+655j),(736+559j),(834+394j),(909+163j),(889+6j),(804-209j),(669-385j),(491-541j),(270-647j),(3-702j),(-273-688j),(-529-570j),(-765-431j),(-894-215j),(-1007+26j),(-1008+278j),(-944+537j),(-778+797j),(-562+949j),(-257+1008j),(87+1006j),(448+836j),(681+523j),(760+201j),(10245+0j),(-11008-32640j),(128+0j),0j
