mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731984907.234669,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-74-629j),(-205-569j),(-331-474j),(-438-295j),(-473-89j),(-452+108j),(-384+288j),(-278+444j),(-185+566j),(-68+670j),(55+763j),(184+816j),(302+832j),(409+831j),(496+797j),(567+732j),(620+630j),(631+507j),(640+363j),(620+212j),(597+43j),(541-137j),(484-274j),(378-434j),(264-546j),(115-616j),(-62-576j),(-205-337j),(-6912+3423j),(457-47j),(603-323j),(569-517j),(469-625j),(342-673j),(182-675j),(28-669j),(-113-614j),(-274-534j),(-409-454j),(-529-346j),(-630-258j),(-715-132j),(-766-11j),(-763+110j),(-749+233j),(-686+325j),(-586+410j),(-474+472j),(-339+514j),(-167+544j),(-26+533j),(144+466j),(305+367j),(436+205j),(500+12j),(507-132j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984907.239301,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(419+384j),(501+285j),(566+154j),(528-66j),(409-261j),(256-389j),(69-476j),(69-476j),(-286-512j),(-467-486j),(-629-434j),(-755-355j),(-851-247j),(-919-146j),(-943-29j),(-922+91j),(-858+192j),(-757+310j),(-634+381j),(-472+467j),(-311+514j),(-110+546j),(56+556j),(260+512j),(426+441j),(545+317j),(579+118j),(387-99j),(-6912+3423j),(-68+455j),(189+664j),(189+664j),(545+570j),(617+438j),(657+274j),(651+98j),(618-57j),(567-235j),(461-414j),(352-535j),(236-645j),(92-722j),(-41-760j),(-190-759j),(-313-712j),(-421-636j),(-502-513j),(-552-379j),(-571-225j),(-570-51j),(-513+103j),(-419+270j),(-264+395j),(-56+475j),(161+461j),(272+386j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984907.298283,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(168+610j),(290+546j),(404+449j),(481+244j),(492+21j),(424-166j),(315-345j),(204-460j),(34-569j),(-113-651j),(-264-704j),(-409-745j),(-536-730j),(-652-695j),(-743-636j),(-797-544j),(-814-435j),(-809-304j),(-761-165j),(-684-7j),(-598+133j),(-486+274j),(-360+403j),(-186+523j),(-30+618j),(150+616j),(315+523j),(349+231j),(-6912+3423j),(-390+248j),(-416+601j),(-278+753j),(-120+805j),(1+794j),(157+725j),(259+648j),(394+507j),(485+349j),(580+186j),(637+26j),(661-130j),(674-290j),(640-442j),(567-554j),(484-645j),(381-711j),(245-717j),(104-702j),(-34-659j),(-165-585j),(-307-471j),(-407-309j),(-477-111j),(-474+110j),(-390+296j),(-303+396j),(10245+0j),(-10496-32640j),(-32640+0j),0j
6c3b6baef921,1731984907.303309,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-142-668j),(-352-540j),(-498-345j),(-535-85j),(-456+144j),(-309+325j),(-115+448j),(95+498j),(302+495j),(495+434j),(671+330j),(811+201j),(894+45j),(948-115j),(925-285j),(857-441j),(738-562j),(567-641j),(399-682j),(174-673j),(-29-614j),(-240-505j),(-386-393j),(-530-183j),(-596+7j),(-585+220j),(-426+407j),(-119+385j),(-6912+3423j),(-395-266j),(-707-84j),(-799+122j),(-744+354j),(-629+491j),(-473+596j),(-244+658j),(-43+653j),(176+600j),(383+477j),(533+346j),(651+187j),(726-4j),(748-201j),(690-379j),(604-531j),(464-636j),(302-694j),(120-715j),(-79-661j),(-259-557j),(-388-407j),(-478-198j),(-492+30j),(-412+256j),(-233+437j),(-14+508j),(10245+0j),(-10496-32640j),(-32640+0j),0j
6c3b6baef921,1731984907.420019,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-684+248j),(-521+450j),(-302+572j),(-41+570j),(184+454j),(329+280j),(411+67j),(428-162j),(386-367j),(296-559j),(172-726j),(26-846j),(-140-923j),(-317-945j),(-475-921j),(-612-835j),(-708-700j),(-751-538j),(-759-347j),(-759-347j),(-631+52j),(-489+246j),(-339+380j),(-123+499j),(92+556j),(309+527j),(457+355j),(412+59j),(-6912+3423j),(-226+446j),(-23+756j),(235+841j),(432+770j),(575+647j),(658+467j),(697+247j),(661+51j),(578-159j),(460-351j),(300-529j),(138-646j),(-75-720j),(-265-733j),(-450-677j),(-611-578j),(-697-445j),(-763-276j),(-765-99j),(-705+84j),(-601+272j),(-445+389j),(-239+480j),(3+503j),(239+410j),(428+229j),(499-2j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984907.426403,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-169+678j),(102+675j),(361+548j),(522+254j),(490-64j),(314-297j),(52-416j),(-217-399j),(-464-257j),(-635-30j),(-712+248j),(-667+542j),(-518+793j),(-276+972j),(15+1051j),(305+994j),(558+828j),(716+597j),(783+310j),(735+6j),(582-249j),(335-422j),(59-508j),(-248-448j),(-492-286j),(-614-21j),(-518+261j),(-177+374j),(-6912+3423j),(-439-244j),(-767+62j),(-778+416j),(-587+691j),(-297+820j),(17+807j),(284+678j),(489+446j),(586+162j),(574-155j),(433-429j),(216-631j),(-74-724j),(-371-685j),(-610-543j),(-787-311j),(-850-23j),(-776+258j),(-598+485j),(-344+628j),(-67+651j),(214+555j),(419+336j),(498+44j),(408-266j),(168-456j),(-66-491j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984907.435785,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(706+146j),(678-19j),(618-171j),(470-327j),(268-405j),(79-423j),(-115-396j),(-302-334j),(-470-261j),(-607-164j),(-752-72j),(-846+19j),(-924+120j),(-974+210j),(-993+292j),(-965+371j),(-910+434j),(-799+466j),(-673+500j),(-522+503j),(-354+526j),(-160+519j),(11+505j),(215+466j),(379+400j),(522+306j),(557+133j),(403-81j),(-6912+3423j),(-137+487j),(63+756j),(262+836j),(396+798j),(489+727j),(551+602j),(592+443j),(600+296j),(594+107j),(575-73j),(542-252j),(511-404j),(438-557j),(368-684j),(269-764j),(161-828j),(68-833j),(-45-825j),(-156-763j),(-256-673j),(-363-553j),(-430-410j),(-473-238j),(-491-40j),(-439+176j),(-315+355j),(-192+467j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984907.693201,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(542-471j),(420-549j),(288-607j),(57-565j),(-134-453j),(-268-292j),(-359-98j),(-414+83j),(-437+293j),(-441+482j),(-422+669j),(-374+836j),(-315+959j),(-248+1050j),(-172+1113j),(-90+1110j),1071j,(93+995j),(154+868j),(246+721j),(314+544j),(373+351j),(435+146j),(462-76j),(461-283j),(395-459j),(231-559j),(-4-433j),(-6912+3423j),(476+239j),(816+83j),(921-103j),(927-264j),(843-356j),(728-440j),(579-485j),(389-532j),(191-539j),(-25-535j),(-230-514j),(-409-468j),(-584-402j),(-713-323j),(-824-212j),(-870-115j),(-908+8j),(-863+105j),(-811+213j),(-705+318j),(-577+393j),(-407+467j),(-210+498j),(-8+479j),(204+381j),(363+224j),(421+111j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731984908.235764,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(589-459j),(443-554j),(275-616j),(37-603j),(-170-504j),(-334-356j),(-452-187j),(-532+29j),(-586+187j),(-612+366j),(-614+549j),(-596+679j),(-564+806j),(-511+909j),(-443+964j),(-366+998j),(-275+993j),(-166+916j),(-53+843j),(53+744j),(182+619j),(331+463j),(419+322j),(519+138j),(579-38j),(592-198j),(481-360j),(205-371j),(-6912+3423j),(288+439j),(633+471j),(822+366j),(894+242j),(882+105j),(827-11j),(731-165j),(617-259j),(459-381j),(301-481j),(144-570j),(-26-648j),(-187-701j),(-339-726j),(-474-711j),(-582-667j),(-652-608j),(-710-500j),(-728-391j),(-722-246j),(-701-70j),(-614+49j),(-503+198j),(-348+331j),(-141+424j),(81+435j),(238+409j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731984908.240970,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(699-244j),(598-375j),(472-486j),(236-554j),(1-523j),(-203-437j),(-372-307j),(-508-132j),(-604+16j),(-679+187j),(-736+357j),(-763+493j),(-760+631j),(-738+752j),(-686+837j),(-608+890j),(-497+903j),(-374+869j),(-235+825j),(-99+733j),(53+642j),(222+510j),(338+391j),(477+228j),(572+73j),(620-99j),(538-271j),(262-339j),(-6912+3423j),(225+470j),(564+551j),(778+458j),(855+343j),(869+208j),(818+65j),(736-91j),(630-200j),(487-338j),(346-453j),(176-558j),(20-651j),(-153-709j),(-304-731j),(-446-718j),(-569-668j),(-639-610j),(-709-507j),(-737-390j),(-728-241j),(-687-63j),(-620+64j),(-496+213j),(-330+348j),(-132+421j),(91+439j),(231+408j),(10245+0j),(-10240-32640j),(128+0j),0j
