mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731967844.949850,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(359+322j),(369-333j),(-326-427j),(-507+322j),(295+615j),(735-215j),(-63-834j),(-851-229j),(-388+817j),(671+596j),(741-460j),(-217-795j),(-758-17j),(-195+643j),(491+283j),(288-365j),(-299-248j),(-227+302j),(331+275j),(381-334j),(-279-518j),(-701+126j),(-7+741j),(778+208j),(413-707j),(-526-567j),(-615+217j),(63+335j),(-1729-97j),(124+205j),(343-449j),(-361-424j),(-389+327j),(386+346j),(368-480j),(-486-510j),(-659+514j),(405+827j),(964-221j),(31-1052j),(-1062-324j),(-628+948j),(707+871j),(998-389j),(-74-982j),(-863-174j),(-320+698j),(539+373j),(356-415j),(-284-305j),(-215+334j),(372+152j),(132-443j),(-519-154j),(-219+571j),(579+311j),(10245+0j),(-11008-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731967844.953488,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-332-251j),(-442-48j),(-477+184j),(-412+446j),(-256+645j),(-60+773j),(137+831j),(307+824j),(480+763j),(593+664j),(686+538j),(719+385j),(703+245j),(653+88j),(561-57j),(439-185j),(274-297j),(116-374j),(-79-442j),(-264-449j),(-440-435j),(-584-392j),(-717-307j),(-806-196j),(-832-50j),(-782+123j),(-610+290j),(-254+316j),(-1729-97j),(-199-311j),(-434-225j),(-500-35j),(-424+167j),(-287+339j),(-88+483j),(119+575j),(348+605j),(566+601j),(769+539j),(939+419j),(1040+283j),(1112+91j),(1104-89j),(1026-254j),(905-420j),(720-518j),(499-572j),(274-571j),(49-512j),(-139-391j),(-301-222j),(-390+3j),(-389+232j),(-268+467j),(-43+620j),(203+629j),(10245+0j),(-11008-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731967845.306456,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(15-531j),(-123-545j),(-277-537j),(-497-440j),(-656-296j),(-747-126j),(-786+25j),(-769+185j),(-723+288j),(-642+382j),(-534+448j),(-419+488j),(-297+495j),(-154+496j),(-11+476j),(124+430j),(258+375j),(372+317j),(476+244j),(549+178j),(610+95j),(656+15j),(659-49j),(632-135j),(582-214j),(486-288j),(323-318j),(86-245j),(-1729-97j),(191+125j),(321-1j),(344-156j),(303-316j),(190-445j),(94-563j),(-27-639j),(-150-688j),(-246-723j),(-353-716j),(-457-690j),(-525-619j),(-600-519j),(-639-404j),(-649-266j),(-627-119j),(-584+17j),(-501+161j),(-404+282j),(-268+372j),(-119+440j),(33+461j),(185+441j),(340+366j),(464+216j),(526+23j),(515-109j),(10245+0j),(-11264-32640j),0j,(-6085-8j)
6c3b6baef921,1731967845.959947,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-315+299j),(-203+464j),(-43+584j),(212+619j),(428+559j),(593+436j),(689+295j),(730+136j),(711-10j),(651-143j),(555-241j),(431-312j),(296-345j),(134-350j),(-15-325j),(-149-280j),(-279-210j),(-384-131j),(-469-33j),(-528+61j),(-569+168j),(-572+249j),(-546+340j),(-488+406j),(-391+452j),(-264+482j),(-91+422j),(62+238j),(-1729-97j),(-192+12j),(-196+160j),(-74+264j),(80+297j),(246+285j),(403+238j),(534+165j),(639+50j),(707-70j),(739-196j),(733-327j),(679-448j),(579-545j),(452-611j),(302-636j),(141-623j),(-14-566j),(-164-451j),(-255-317j),(-333-155j),(-354+6j),(-321+179j),(-228+320j),(-84+424j),(118+457j),(320+390j),(428+263j),(10245+0j),(-11520-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731967845.962526,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-405-142j),(-510+3j),(-565+184j),(-505+418j),(-363+605j),(-196+704j),(-32+751j),(119+728j),(240+669j),(330+574j),(394+458j),(425+318j),(419+168j),(377+35j),(319-101j),(230-218j),(132-319j),(30-409j),(-84-466j),(-188-497j),(-281-521j),(-370-499j),(-431-468j),(-486-398j),(-523-300j),(-518-174j),(-434-23j),(-222+93j),(-1729-97j),(-40-192j),(-191-165j),(-262-46j),(-283+112j),(-255+266j),(-200+417j),(-115+547j),(-14+634j),(108+700j),(237+731j),(370+720j),(468+667j),(560+573j),(618+447j),(639+284j),(624+135j),(565-17j),(453-153j),(326-254j),(174-324j),(11-356j),(-154-327j),(-306-246j),(-424-110j),(-467+82j),(-415+277j),(-304+382j),(10245+0j),(-11520-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731967846.277944,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-314-263j),(-468-158j),(-585+6j),(-602+254j),(-527+474j),(-400+635j),(-258+727j),(-99+767j),(55+748j),(181+685j),(282+591j),(346+469j),(384+334j),(396+180j),(375+26j),(332-131j),(259-270j),(159-398j),(54-491j),(-45-551j),(-152-615j),(-251-620j),(-352-605j),(-428-546j),(-484-452j),(-514-319j),(-467-139j),(-280+46j),(-1729-97j),(12-228j),(-157-249j),(-272-151j),(-324+15j),(-331+189j),(-299+362j),(-240+518j),(-142+644j),(-19+745j),(101+809j),(236+830j),(369+810j),(485+739j),(594+616j),(645+450j),(665+285j),(624+114j),(553-55j),(429-203j),(272-309j),(116-367j),(-77-363j),(-252-319j),(-403-199j),(-490-9j),(-487+220j),(-387+361j),(10245+0j),(-11264-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731967846.308701,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(235-390j),(100-502j),(-51-583j),(-253-610j),(-426-586j),(-561-527j),(-650-447j),(-698-365j),(-707-277j),(-689-192j),(-670-113j),(-599-39j),(-513+49j),(-421+127j),(-317+204j),(-205+283j),(-95+361j),(5+431j),(104+488j),(180+548j),(248+585j),(309+614j),(351+626j),(392+598j),(411+551j),(430+452j),(408+297j),(277+70j),(-1729-97j),(-137+187j),(-30+301j),(104+291j),(240+231j),(353+143j),(478+51j),(578-47j),(660-151j),(720-238j),(768-317j),(784-380j),(779-451j),(724-520j),(652-556j),(555-586j),(431-591j),(306-575j),(158-537j),(24-480j),(-112-404j),(-231-308j),(-330-192j),(-406-56j),(-436+107j),(-409+284j),(-313+437j),(-200+520j),(10245+0j),(-11264-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731967846.313606,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(381+343j),(494+206j),(582+58j),(642-143j),(627-335j),(598-473j),(523-581j),(425-651j),(362-672j),(261-673j),(171-635j),(80-587j),(6-507j),(-93-424j),(-188-325j),(-268-209j),(-352-115j),(-422-5j),(-495+88j),(-542+174j),(-598+246j),(-604+329j),(-618+356j),(-587+401j),(-523+421j),(-436+442j),(-270+422j),(-57+279j),(-1729-97j),(-195-121j),(-294-8j),(-287+131j),(-201+255j),(-103+376j),(-2+478j),(133+559j),(236+642j),(333+675j),(428+693j),(508+713j),(578+679j),(637+619j),(677+542j),(677+415j),(673+309j),(625+170j),(561+45j),(471-87j),(365-204j),(232-305j),(101-369j),(-50-404j),(-216-400j),(-382-313j),(-505-174j),(-564-49j),(10245+0j),(-11264-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731967846.316313,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(486+137j),(534+21j),(571-111j),(561-333j),(490-520j),(393-645j),(277-729j),(150-761j),(51-755j),(-49-709j),(-144-657j),(-212-557j),(-254-444j),(-306-318j),(-334-174j),(-345-35j),(-353+116j),(-344+254j),(-336+378j),(-307+479j),(-290+568j),(-245+642j),(-202+681j),(-142+704j),(-53+676j),(41+617j),(142+484j),(182+226j),(-1729-97j),(-218+79j),(-173+243j),(-59+304j),(112+308j),(266+282j),(411+233j),(558+166j),(660+97j),(757+0j),(824-96j),(856-182j),(858-284j),(810-369j),(743-453j),(610-517j),(486-546j),(343-555j),(177-533j),(20-477j),(-128-391j),(-258-286j),(-356-158j),(-407+3j),(-412+174j),(-344+361j),(-199+499j),(-68+549j),(10245+0j),(-11264-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731967846.960315,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-206+563j),(-54+588j),(95+598j),(302+592j),(496+540j),(627+444j),(718+348j),(749+268j),(762+125j),(729+23j),(666-64j),(580-135j),(456-200j),(330-253j),(189-292j),(41-325j),(-102-342j),(-238-359j),(-365-353j),(-482-345j),(-572-318j),(-622-323j),(-687-259j),(-696-199j),(-686-119j),(-633-15j),(-501+97j),(-240+162j),(-1729-97j),(-63-220j),(-217-189j),(-288-65j),(-309+97j),(-286+272j),(-256+427j),(-220+560j),(-120+688j),(-42+781j),(48+868j),(142+898j),(236+894j),(331+849j),(417+759j),(485+654j),(485+654j),(537+353j),(501+181j),(459+25j),(384-127j),(289-241j),(140-370j),(-10-422j),(-191-418j),(-379-359j),(-510-216j),(-598-116j),(10245+0j),(-11264-32640j),(128+0j),(-6085-8j)
