mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731968666.712923,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-167+466j),(25+471j),(203+399j),(259+220j),(247+48j),(163-105j),(53-228j),(-77-318j),(-228-378j),(-365-420j),(-494-429j),(-607-421j),(-679-381j),(-732-334j),(-753-274j),(-729-193j),(-672-121j),(-587-44j),(-459+31j),(-329+101j),(-170+167j),(-12+207j),(144+247j),(296+254j),(418+228j),(504+172j),(511+46j),(341-94j),(-1729-97j),(-109+377j),(34+568j),(157+581j),(229+524j),(255+418j),(251+294j),(224+155j),(189-1j),(137-151j),(64-300j),(-9-431j),(-75-536j),(-150-616j),(-223-669j),(-303-686j),(-354-668j),(-399-627j),(-423-535j),(-431-441j),(-408-320j),(-361-194j),(-293-63j),(-192+62j),(-59+147j),(107+189j),(269+160j),(340+5j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731968667.029004,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-155-363j),(-287-259j),(-358-105j),(-262+100j),(-77+221j),(131+233j),(324+170j),(473+27j),(561-132j),(597-315j),(574-498j),(493-637j),(375-723j),(236-778j),(83-775j),(-62-698j),(-179-574j),(-247-411j),(-259-228j),(-230-38j),(-149+139j),(-21+286j),(113+384j),(282+434j),(429+404j),(546+313j),(577+119j),(375-95j),(-1729-97j),(-41+407j),(187+539j),(348+471j),(407+334j),(383+185j),(297+41j),(163-82j),(-2-160j),(-197-194j),(-376-178j),(-542-117j),(-667-18j),(-750+120j),(-774+267j),(-732+424j),(-642+527j),(-507+598j),(-354+612j),(-182+588j),(-35+493j),(89+360j),(141+197j),(137+17j),(62-138j),(-94-242j),(-288-238j),(-378-114j),(10245+0j),(-9728-32640j),0j,(-6085-8j)
6c3b6baef921,1731968667.034050,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-390-252j),(-415-49j),(-351+140j),(-167+235j),(36+236j),(210+175j),(362+66j),(480-48j),(556-189j),(603-325j),(623-442j),(607-545j),(566-622j),(507-658j),(419-681j),(310-642j),(209-569j),(101-482j),(-4-365j),(-108-215j),(-203-62j),(-273+86j),(-323+237j),(-356+374j),(-343+488j),(-275+583j),(-130+581j),(50+391j),(-1729-97j),(-370-166j),(-566-43j),(-589+83j),(-513+153j),(-397+195j),(-240+186j),(-77+170j),(99+130j),(261+82j),(422+24j),(558-57j),(673-130j),(738-211j),(767-286j),(773-356j),(733-416j),(652-451j),(550-460j),(426-447j),(290-400j),(160-334j),(25-238j),(-89-116j),(-159+36j),(-166+211j),(-92+364j),(82+425j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731968667.116570,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-188-363j),(-267-285j),(-320-182j),(-281-3j),(-193+162j),(-84+293j),(28+393j),(103+502j),(216+573j),(293+649j),(360+711j),(378+722j),(382+742j),(382+733j),(359+689j),(359+689j),(298+515j),(247+370j),(214+231j),(205+76j),(217-86j),(238-222j),(267-365j),(296-487j),(304-554j),(289-597j),(202-583j),(34-412j),(-1729-97j),(288+304j),(480+301j),(529+257j),(470+201j),(387+136j),(268+46j),(152-39j),(34-175j),(-74-309j),(-152-428j),(-215-568j),(-244-681j),(-266-769j),(-268-849j),(-251-851j),(-233-853j),(-215-795j),(-182-721j),(-170-611j),(-158-487j),(-135-346j),(-149-186j),(-132-22j),(-101+137j),(-39+293j),(64+410j),(163+416j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731968667.117055,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-63-492j),(-150-402j),(-218-287j),(-260-111j),(-237+81j),(-169+244j),(-75+390j),(40+508j),(118+602j),(210+683j),(292+735j),(347+746j),(377+746j),(399+723j),(406+659j),(394+573j),(370+466j),(316+319j),(270+173j),(216+20j),(177-144j),(127-306j),(99-440j),(51-572j),(7-634j),(-54-659j),(-147-596j),(-210-349j),(-1729-97j),(418+48j),(560-102j),(556-187j),(469-212j),(357-210j),(202-177j),(40-154j),(-125-128j),(-298-96j),(-453-74j),(-599-63j),(-722-50j),(-819-43j),(-886-24j),(-884-6j),(-882+13j),(-825+37j),(-740+63j),(-627+91j),(-494+119j),(-343+147j),(-189+146j),(-19+131j),(141+93j),(293+3j),(395-129j),(428-239j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731968667.281513,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(189-563j),(40-499j),(-87-401j),(-178-223j),(-215-29j),(-198+162j),(-156+347j),(-123+502j),(-50+645j),(-4+768j),(46+868j),(91+935j),(116+951j),(135+946j),(144+890j),(151+810j),(139+692j),(161+555j),(170+397j),(184+216j),(220+33j),(252-135j),(293-291j),(323-474j),(324-578j),(300-626j),(170-618j),(2-440j),(-1729-97j),(-1729-97j),(585+247j),(629+154j),(612+96j),(522+35j),(358-42j),(206-103j),(50-206j),(-108-289j),(-266-380j),(-395-452j),(-493-539j),(-584-601j),(-629-629j),(-675-648j),(-665-624j),(-658-583j),(-605-492j),(-557-398j),(-476-285j),(-377-168j),(-289-35j),(-170+106j),(-14+206j),(153+267j),(324+265j),(462+211j),(10245+0j),(-9472-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731968667.282015,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(497-316j),(211-453j),(-77-400j),(-237-172j),(-201+86j),(-18+259j),(239+299j),(484+173j),(654-27j),(714-296j),(642-584j),(457-811j),(203-939j),(-86-946j),(-355-839j),(-533-625j),(-597-387j),(-555-130j),(-412+75j),(-210+206j),(47+204j),(274+100j),(417-76j),(467-323j),(359-546j),(160-680j),(-131-621j),(-312-305j),(-1729-97j),(366-287j),(208-603j),(-62-669j),(-281-533j),(-388-336j),(-341-118j),(-207+107j),(-14+192j),(209+210j),(447+98j),(596-103j),(633-341j),(590-596j),(410-804j),(159-915j),(-114-909j),(-365-791j),(-541-563j),(-607-309j),(-543-52j),(-390+154j),(-172+221j),(58+184j),(205+13j),(214-219j),(43-419j),(-234-449j),(10245+0j),(-9472-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731968667.283861,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-126-255j),(-253-168j),(-331-33j),(-351+125j),(-303+267j),(-228+386j),(-120+462j),(4+522j),(122+549j),(262+551j),(380+523j),(508+485j),(617+418j),(727+323j),(808+216j),(872+105j),(914-28j),(919-157j),(919-281j),(891-396j),(855-522j),(794-620j),(732-714j),(657-782j),(583-845j),(511-900j),(423-950j),(325-978j),(-1729-97j),(138-1016j),(61-1022j),(-39-1018j),(-134-1000j),(-243-977j),(-343-931j),(-440-880j),(-528-802j),(-608-718j),(-675-622j),(-729-517j),(-777-388j),(-774-255j),(-756-131j),(-712-8j),(-657+107j),(-574+205j),(-483+288j),(-373+347j),(-252+380j),(-140+385j),(-35+372j),(77+322j),(159+240j),(223+132j),(213+12j),(167-95j),(10246+14592j),(-8528-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731968667.284947,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-282-385j),(-334-308j),(-363-199j),(-297-9j),(-154+150j),(24+253j),(218+317j),(393+349j),(559+345j),(703+337j),(835+304j),(908+263j),(951+216j),(964+167j),(925+108j),(848+51j),(737+0j),(577-58j),(409-108j),(220-153j),(38-207j),(-157-238j),(-328-272j),(-496-276j),(-614-257j),(-685-195j),(-664-61j),(-437+109j),(-1729-97j),(172-444j),(24-664j),(-91-693j),(-164-608j),(-188-485j),(-202-317j),(-195-131j),(-194+56j),(-169+254j),(-142+443j),(-111+600j),(-76+744j),(-43+852j),(6+927j),(63+952j),(116+943j),(164+875j),(202+783j),(242+652j),(242+652j),(260+340j),(244+164j),(182-17j),(95-180j),(-55-307j),(-231-358j),(-320-325j),(10249+0j),(-8960-32640j),(128+0j),(-6085-8j)
6c3b6baef921,1731968667.669522,(-2+5119j),(-6146-1027j),(2047+4096j),(6146+4096j),(-445-89j),(-401+48j),(-305+154j),(-121+177j),(55+111j),(192-6j),(292-155j),(342-304j),(370-453j),(366-588j),(342-703j),(289-788j),(235-831j),(172-835j),(99-802j),(37-721j),(-4-618j),(-39-481j),(-65-327j),(-84-159j),(-102+11j),(-78+186j),(-64+341j),(-9+462j),(62+553j),(147+578j),(237+501j),(268+267j),(-1729-97j),(-386+83j),(-453+296j),(-407+382j),(-322+379j),(-223+339j),(-119+252j),(-16+138j),(77+16j),(158-125j),(231-264j),(277-390j),(314-510j),(313-592j),(305-663j),(264-702j),(222-717j),(156-692j),(90-621j),(31-542j),(-35-436j),(-77-314j),(-96-187j),(-94-45j),(-44+91j),(56+196j),(185+242j),(296+188j),(10245+0j),(-9728-32640j),(128+0j),(-6085-8j)
