mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731984700.899740,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(30+241j),(177+257j),(331+187j),(426-52j),(376-287j),(217-462j),(17-618j),(-217-622j),(-423-593j),(-622-525j),(-775-332j),(-839-136j),(-835+97j),(-722+295j),(-570+456j),(-375+570j),(-114+603j),(152+549j),(370+404j),(559+224j),(686-9j),(724-292j),(706-489j),(550-736j),(333-878j),(60-902j),(-226-743j),(-348-326j),(-6912+3423j),(363-282j),(188-577j),(-70-640j),(-325-498j),(-489-275j),(-596+16j),(-564+333j),(-484+588j),(-285+822j),(-40+978j),(228+1052j),(494+1023j),(744+899j),(932+696j),(1017+414j),(1025+126j),(912-145j),(711-369j),(455-525j),(152-571j),(-159-530j),(-403-369j),(-577-95j),(-623+230j),(-482+570j),(-191+792j),(129+808j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731984700.902909,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(393+138j),(395-95j),(307-311j),(99-438j),(-130-456j),(-337-441j),(-522-314j),(-649-219j),(-754-93j),(-777+72j),(-799+222j),(-750+352j),(-666+466j),(-567+568j),(-407+622j),(-206+649j),(-8+612j),(200+514j),(363+419j),(542+286j),(681+119j),(763-89j),(829-231j),(809-437j),(715-583j),(558-712j),(301-716j),(-28-480j),(-6912+3423j),(440+120j),(578-143j),(522-359j),(340-488j),(116-561j),(-157-566j),(-405-513j),(-613-440j),(-813-312j),(-974-154j),(-1077+12j),(-1121+187j),(-1110+374j),(-1024+535j),(-881+669j),(-690+758j),(-478+798j),(-241+772j),(-7+691j),(205+551j),(408+370j),(514+155j),(580-114j),(539-397j),(367-650j),(87-805j),(-217-797j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731984700.907508,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(450-147j),(320-280j),(142-366j),(-103-398j),(-352-323j),(-510-174j),(-603+1j),(-645+215j),(-617+391j),(-543+551j),(-459+686j),(-302+769j),(-146+826j),(34+774j),(214+698j),(388+563j),(475+361j),(550+139j),(557-111j),(491-334j),(408-544j),(239-741j),(102-834j),(-126-902j),(-335-863j),(-531-736j),(-620-466j),(-469-73j),(-6912+3423j),(178-420j),(-88-594j),(-316-557j),(-479-357j),(-557-116j),(-553+176j),(-475+439j),(-362+649j),(-167+842j),(35+967j),(266+1045j),(491+1032j),(686+941j),(844+788j),(942+566j),(983+331j),(916+89j),(795-144j),(603-331j),(354-463j),(82-550j),(-182-514j),(-441-384j),(-635-153j),(-722+173j),(-638+502j),(-450+718j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731984700.910969,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-9-274j),(-271-220j),(-417+34j),(-271+326j),(-6+477j),(340+398j),(588+165j),(651-119j),(566-496j),(287-727j),(-89-793j),(-426-703j),(-694-424j),(-772-74j),(-690+271j),(-411+536j),(-40+594j),(274+477j),(525+187j),(577-168j),(426-524j),(149-746j),(-268-816j),(-662-629j),(-884-259j),(-884+190j),(-543+529j),(-39+474j),(-6912+3423j),(-456+63j),(-353+462j),(-6+640j),(347+475j),(551+140j),(528-277j),(295-571j),(-108-742j),(-550-669j),(-877-380j),(-1054+70j),(-992+524j),(-698+916j),(-247+1136j),(258+1062j),(655+788j),(847+365j),(804-94j),(541-441j),(149-580j),(-221-496j),(-506-192j),(-529+234j),(-276+598j),(190+710j),(659+466j),(803-30j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731984700.914118,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-325+277j),(-221+349j),(-77+400j),(140+384j),(324+289j),(519+119j),(604-73j),(637-277j),(568-487j),(454-639j),(311-740j),(146-820j),(-39-821j),(-235-751j),(-391-611j),(-497-417j),(-553-205j),(-561+19j),(-491+279j),(-364+474j),(-181+655j),(5+766j),(227+804j),(460+780j),(664+648j),(791+418j),(739+138j),(449-157j),(-6912+3423j),(42+445j),(363+460j),(541+308j),(590+56j),(517-207j),(354-455j),(158-617j),(-97-737j),(-357-786j),(-615-752j),(-853-635j),(-1012-456j),(-1112-243j),(-1131-20j),(-1076+215j),(-931+437j),(-725+576j),(-454+663j),(-187+665j),(82+572j),(306+450j),(496+207j),(587-96j),(496-412j),(260-650j),(-51-772j),(-339-712j),(10245+0j),(-11008-32640j),(128+0j),0j
6c3b6baef921,1731984701.103583,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(312+100j),(301+29j),(290-57j),(266-191j),(179-326j),(82-434j),(-31-521j),(-170-601j),(-309-617j),(-420-614j),(-489-601j),(-560-556j),(-596-488j),(-625-397j),(-633-275j),(-597-143j),(-533-5j),(-436+152j),(-333+299j),(-229+417j),(-119+547j),(-10+644j),(111+716j),(247+758j),(357+743j),(464+668j),(520+478j),(412+147j),(-6912+3423j),(-300+295j),(-195+522j),(-39+579j),(135+508j),(284+407j),(427+259j),(546+111j),(642-57j),(723-230j),(783-375j),(808-518j),(816-637j),(764-738j),(680-809j),(557-839j),(427-842j),(289-804j),(120-724j),(-43-613j),(-194-475j),(-320-335j),(-431-139j),(-493+68j),(-498+295j),(-412+538j),(-229+714j),(-48+773j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984701.154857,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(336+316j),(407+111j),(391-105j),(276-306j),(89-438j),(-120-496j),(-310-481j),(-488-413j),(-613-308j),(-706-184j),(-765-39j),(-765+136j),(-724+249j),(-629+381j),(-508+489j),(-328+543j),(-135+567j),(43+529j),(242+466j),(397+354j),(544+226j),(648+54j),(702-99j),(698-272j),(627-421j),(503-545j),(267-578j),(-20-395j),(-6912+3423j),(374+83j),(486-153j),(430-351j),(254-457j),(54-508j),(-177-504j),(-391-433j),(-563-340j),(-713-198j),(-825-44j),(-882+131j),(-896+294j),(-843+468j),(-741+608j),(-578+690j),(-395+747j),(-206+737j),(-1+665j),(178+542j),(318+376j),(423+179j),(452-41j),(419-264j),(299-481j),(76-627j),(-200-652j),(-440-562j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984701.160471,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-392+183j),(-192+351j),(57+390j),(306+285j),(458+63j),(479-175j),(414-408j),(227-575j),(42-689j),(-173-710j),(-398-633j),(-557-509j),(-669-325j),(-711-95j),(-685+123j),(-526+333j),(-340+461j),(-126+509j),(141+489j),(350+408j),(521+266j),(662+11j),(694-179j),(620-455j),(453-597j),(209-717j),(-63-608j),(-240-302j),(-6912+3423j),(313-214j),(170-461j),(-87-543j),(-300-431j),(-480-242j),(-537+54j),(-490+316j),(-355+535j),(-190+705j),(49+804j),(307+836j),(547+751j),(755+586j),(881+345j),(886+81j),(810-184j),(655-372j),(415-509j),(149-544j),(-98-472j),(-316-325j),(-434-104j),(-456+167j),(-344+429j),(-83+615j),(255+637j),(536+475j),(10245+0j),(-10496-32640j),(128+0j),0j
6c3b6baef921,1731984701.168021,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-525+1j),(-435+361j),(-147+570j),(183+573j),(453+424j),(616+172j),(653-111j),(588-382j),(398-591j),(147-727j),(-129-753j),(-410-682j),(-641-508j),(-809-252j),(-875+35j),(-816+345j),(-682+604j),(-460+797j),(-177+902j),(115+921j),(390+825j),(671+739j),(799+455j),(911+174j),(893-66j),(823-359j),(708-548j),(450-734j),(-6912+3423j),(-39-851j),(-297-796j),(-504-647j),(-668-473j),(-776-223j),(-804+38j),(-673+305j),(-589+498j),(-387+656j),(-116+711j),(135+691j),(372+577j),(545+379j),(613+140j),(596-117j),(480-325j),(290-463j),(69-533j),(-164-488j),(-347-350j),(-469-157j),(-483+81j),(-379+304j),(-173+450j),(102+478j),(362+331j),(492+38j),(10246+4096j),(-10309-32640j),(128+0j),0j
6c3b6baef921,1731984701.179231,(-1031+4099j),(1022+4094j),(-2034+3069j),(6142-3074j),(-360+405j),(88+554j),(482+331j),(604-86j),(425-444j),(84-628j),(-308-575j),(-592-334j),(-694+52j),(-578+430j),(-286+686j),(113+771j),(503+612j),(758+286j),(820-128j),(661-531j),(328-800j),(-99-861j),(-509-716j),(-788-384j),(-877+30j),(-773+449j),(-469+734j),(-85+861j),(311+794j),(639+556j),(820+204j),(813-199j),(-6912+3423j),(302-751j),(-73-801j),(-426-671j),(-672-389j),(-769-32j),(-680+328j),(-432+623j),(-66+727j),(295+653j),(561+400j),(672+53j),(585-289j),(328-535j),(-9-606j),(-316-483j),(-514-226j),(-526+111j),(-347+368j),(-83+486j),(223+424j),(440+211j),(449-88j),(288-364j),(-28-458j),(-333-327j),(-485+2j),(-310+348j),(10246+16128j),(-10314-32640j),(128+0j),0j
