mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731976750.035225,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(251+77j),(252-63j),(241-196j),(228-341j),(181-473j),(112-573j),(44-629j),(-7-665j),(-70-684j),(-106-675j),(-158-655j),(-183-579j),(-184-485j),(-180-371j),(-171-249j),(-186-102j),(-174+54j),(-146+198j),(-126+342j),(-103+462j),(-88+577j),(-75+660j),(-47+718j),(-13+747j),(38+714j),(101+645j),(158+507j),(186+237j),(-2561-4704j),(-222+34j),(-192+149j),(-86+179j),(66+154j),(221+121j),(378+80j),(518+29j),(642-16j),(745-67j),(812-101j),(855-144j),(868-167j),(840-200j),(780-236j),(676-252j),(676-252j),(416-268j),(257-247j),(95-220j),(-78-187j),(-224-125j),(-367-50j),(-476+66j),(-536+206j),(-549+387j),(-479+550j),(-402+639j),(10245+0j),(-9728-32640j),(128+0j),0j
6c3b6baef921,1731976750.358625,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-109+278j),(-21+282j),(70+282j),(230+278j),(389+206j),(496+93j),(556-38j),(562-200j),(523-310j),(447-413j),(337-471j),(211-490j),(86-460j),(-28-384j),(-118-267j),(-178-121j),(-192+31j),(-164+197j),(-98+331j),444j,(120+522j),(267+544j),(371+531j),(474+461j),(548+351j),(568+188j),(476+3j),(235-126j),(-2561-4704j),(59+186j),(174+122j),(186-24j),(108-163j),(-29-282j),(-188-362j),(-366-362j),(-515-344j),(-651-276j),(-755-166j),(-813-43j),(-825+95j),(-756+234j),(-645+346j),(-491+413j),(-318+432j),(-152+390j),(7+293j),(132+158j),(196-12j),(200-190j),(140-354j),(14-484j),(-185-557j),(-420-509j),(-626-346j),(-704-194j),(10245+0j),(-9728-32640j),(128+0j),0j
6c3b6baef921,1731976750.362546,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(40-149j),(-83-183j),(-208-193j),(-316-164j),(-427-108j),(-503-59j),(-555+2j),(-591+51j),(-607+87j),(-605+127j),(-570+154j),(-508+168j),(-431+185j),(-334+181j),(-224+196j),(-106+179j),(20+189j),(151+192j),(284+199j),(390+200j),(495+208j),(565+213j),(607+205j),(635+190j),(623+158j),(572+76j),(474-18j),(251-99j),(-2561-4704j),(-27+198j),(80+197j),(156+110j),(197-18j),(224-156j),(258-302j),(277-420j),(309-536j),(321-632j),(320-692j),(323-736j),(312-743j),(273-729j),(243-692j),(170-612j),(103-536j),(25-416j),(-55-299j),(-126-166j),(-198-28j),(-253+101j),(-283+241j),(-286+386j),(-249+516j),(-144+628j),(-7+703j),(103+702j),(10245+0j),(-9728-32640j),(128+0j),0j
6c3b6baef921,1731976750.549043,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(280+16j),(226-151j),(113-284j),(-56-386j),(-257-400j),(-445-318j),(-568-183j),(-631-9j),(-619+175j),(-548+336j),(-431+453j),(-269+505j),(-113+487j),(33+419j),(141+290j),(191+127j),(170-42j),(81-198j),(-55-305j),(-216-358j),(-381-353j),(-525-286j),(-638-150j),(-682+22j),(-641+202j),(-506+360j),(-273+423j),(-8+288j),(-2561-4704j),(-222-24j),(-209+138j),(-70+206j),(106+157j),(249+41j),(329-127j),(346-324j),(278-506j),(145-658j),(-24-747j),(-219-766j),(-403-705j),(-555-568j),(-630-381j),(-634-179j),(-563+8j),(-425+159j),(-239+229j),(-53+223j),(115+138j),(233+0j),(266-186j),(196-373j),(30-519j),(-229-549j),(-481-434j),(-623-254j),(10245+0j),(-9984-32640j),(128+0j),0j
6c3b6baef921,1731976751.037619,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(127-103j),(35-231j),(-105-317j),(-284-322j),(-445-259j),(-582-157j),(-658-20j),(-696+87j),(-675+215j),(-648+300j),(-581+380j),(-480+435j),(-349+425j),(-217+401j),(-82+340j),(45+251j),(149+141j),(242+12j),(311-132j),(359-275j),(378-404j),(381-503j),(346-608j),(267-677j),(160-709j),(25-662j),(-116-533j),(-181-254j),(-2561-4704j),(241-63j),(199-210j),(62-246j),(-91-201j),(-243-105j),(-382+18j),(-480+140j),(-553+302j),(-582+450j),(-585+591j),(-532+697j),(-467+778j),(-364+813j),(-247+808j),(-122+775j),(8+669j),(116+560j),(195+379j),(237+200j),(237+8j),(199-174j),(103-343j),(-54-471j),(-254-519j),(-476-481j),(-667-328j),(-743-143j),(10245+0j),(-9728-32640j),(128+0j),0j
6c3b6baef921,1731976751.357562,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(107+300j),(239+221j),(352+128j),(448+5j),(511-137j),(531-256j),(526-365j),(489-459j),(463-494j),(463-494j),(352-536j),(274-529j),(196-480j),(107-430j),(-2-358j),(-94-273j),(-204-189j),(-312-91j),(-396-4j),(-478+81j),(-551+153j),(-594+247j),(-625+283j),(-620+333j),(-574+378j),(-483+400j),(-326+395j),(-88+280j),(-2561-4704j),(-176-160j),(-287-58j),(-278+69j),(-206+203j),(-112+328j),(-20+442j),(108+546j),(176+625j),(272+685j),(348+721j),(399+740j),(454+716j),(488+668j),(502+593j),(502+477j),(484+352j),(455+214j),(394+65j),(326-78j),(234-218j),(129-348j),(19-455j),(-120-519j),(-286-546j),(-459-495j),(-608-381j),(-681-269j),(10245+0j),(-9728-32640j),(128+0j),0j
6c3b6baef921,1731976751.362884,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-46-183j),(-184-203j),(-329-170j),(-448-14j),(-515+150j),(-497+310j),(-466+477j),(-386+565j),(-286+642j),(-187+678j),(-82+646j),(11+606j),(122+522j),(191+396j),(233+268j),(279+121j),(284-20j),(247-212j),(221-345j),(142-484j),(76-583j),(-3-653j),(-92-684j),(-199-677j),(-295-633j),(-373-514j),(-398-330j),(-284-74j),(-2561-4704j),(125-204j),(-16-287j),(-154-238j),(-271-108j),(-340+53j),(-392+226j),(-397+386j),(-378+544j),(-322+673j),(-249+781j),(-147+836j),(-47+857j),(69+827j),(166+758j),(270+653j),(341+506j),(379+342j),(373+149j),(337-28j),(251-199j),(137-343j),(-11-440j),(-199-494j),(-392-465j),(-583-343j),(-703-137j),(-705+58j),(10245+0j),(-9728-32640j),(128+0j),0j
6c3b6baef921,1731976751.562432,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-181+16j),(-24+31j),(107-45j),(159-183j),(135-347j),(35-497j),(-122-597j),(-289-629j),(-470-608j),(-630-520j),(-743-381j),(-793-210j),(-757-33j),(-658+128j),(-520+248j),(-314+313j),(-88+288j),(121+179j),(291+24j),(387-184j),(432-405j),(383-611j),(262-793j),(77-901j),(-153-900j),(-375-780j),(-518-509j),(-415-113j),(-2561-4704j),(156-319j),(-55-417j),(-220-275j),(-269-34j),(-203+212j),(-48+437j),(175+590j),(453+660j),(715+630j),(715+630j),(1114+317j),(1194+97j),(1176-172j),(1065-407j),(846-585j),(597-676j),(309-669j),(56-553j),(-145-354j),(-256-87j),(-261+178j),(-132+432j),(116+609j),(424+641j),(765+492j),(1000+153j),(1026-193j),(10245+0j),(-10240-32640j),(128+0j),0j
6c3b6baef921,1731976751.835801,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(-435+88j),(-407+176j),(-369+271j),(-325+463j),(-232+625j),(-93+738j),(30+800j),(150+824j),(257+791j),(332+734j),(394+647j),(416+539j),(403+407j),(375+268j),(314+114j),(230-33j),(126-190j),(26-324j),(-97-430j),(-213-531j),(-307-585j),(-392-631j),(-475-635j),(-531-599j),(-567-528j),(-571-394j),(-513-212j),(-308-5j),(-2561-4704j),(89-202j),(-28-239j),(-127-145j),(-203+7j),(-247+171j),(-276+336j),(-287+496j),(-280+636j),(-267+758j),(-228+843j),(-174+904j),(-122+917j),(-46+891j),(27+833j),(91+736j),(155+603j),(192+451j),(218+263j),(210+79j),(182-103j),(128-266j),(14-415j),(-115-528j),(-294-580j),(-491-559j),(-678-439j),(-746-359j),(10245+0j),(-9984-32640j),(128+0j),0j
6c3b6baef921,1731976752.045365,(-3075+8187j),(5+5118j),(-5116+1030j),(7167+3075j),(393-237j),(295-352j),(194-455j),(61-583j),(-88-672j),(-223-715j),(-345-714j),(-439-686j),(-513-623j),(-539-542j),(-545-451j),(-519-342j),(-469-225j),(-387-91j),(-292+43j),(-181+183j),(-58+298j),(75+424j),(188+520j),(299+596j),(389+655j),(455+688j),(517+674j),(552+629j),(574+548j),(565+422j),(495+235j),(295+14j),(-2561-4704j),(-74+179j),(63+206j),(188+110j),(304-43j),(372-201j),(437-357j),(485-488j),(507-622j),(514-722j),(503-795j),(476-846j),(415-841j),(340-814j),(243-745j),(131-654j),(24-533j),(-77-396j),(-163-233j),(-243-66j),(-290+111j),(-318+273j),(-287+433j),(-236+587j),(-128+710j),(42+778j),(247+765j),(368+731j),(10245+0j),(-9472-32640j),(128+0j),0j
