timestamp;MAC;subcarrier;amplitude;phase;RSSI;frame_control
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;0;3252.5782081297;2.8730485766;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;1;233.3088082349;2.2803523987;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;2;376.8182585810;1.6931763404;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;3;445.0000000000;1.7606997395;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;4;423.3981577664;1.4643122687;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;5;400.0524965551;1.4982422019;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;6;323.0510795524;1.4122633289;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;7;401.3589415972;1.6531099156;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;8;230.3757799770;1.7145349999;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;9;312.4355933629;1.8965954421;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;10;290.3532331489;2.0621718044;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;11;317.5925062088;2.0555675540;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;12;383.4709897763;2.2638651555;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;13;372.2633476452;2.1766807797;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;14;392.4499968149;2.3615998430;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;15;408.7957925419;2.3354362266;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;16;395.6677899450;2.4008874281;-79.0000000000;148
2024-06-29 07:53:47:810832;e4:be:ed:7b:2f:79;17;364.9177989630;2.6289046413;-79.0000000000;148
