timestamp;MAC;subcarrier;amplitude;phase;RSSI;frame_control
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;0;3252.5782081297;2.8730485766;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;1;596.1291806312;1.6733025614;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;2;739.5843427223;0.5666255154;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;3;660.7934624374;0.6089902855;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;4;749.6345776443;0.6338962814;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;5;656.2088082310;0.4425191925;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;6;553.5142274594;0.7009838577;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;7;552.2544703305;0.7815569531;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;8;186.1021225027;0.9842840351;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;9;327.2002444987;1.4851170293;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;10;267.7928303745;2.0862370388;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;11;608.0962094932;2.3085007674;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;12;649.8899906907;2.0750552035;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;13;735.0823083166;2.2733727982;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;14;927.0825205989;2.0301024291;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;15;725.7451343275;1.8629130130;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;16;780.4934336687;1.8820124249;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;17;763.7905472052;1.4711276743;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;18;503.6606000076;1.3850824785;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;19;574.6590293383;1.2650047916;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;20;501.8784713454;0.7148937500;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;21;398.0452235613;1.1183842001;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;22;393.1920650268;0.7710106670;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;23;143.3910736413;0.2179125164;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;24;129.2478239662;1.7575701313;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;25;85.9127464350;-2.2655346030;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;26;349.7785013405;-2.6242195871;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;27;382.0274859222;-2.4247326096;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;28;9217.0000000000;0.0000000000;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;29;39514.7008593005;-2.1695801838;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;30;128.0000000000;0.0000000000;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;31;3323.4808559701;-1.3601232941;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;32;3234.3778381630;-0.3221416377;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;33;5224.1418434036;-1.7678915638;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;34;5970.2095440612;2.1106987640;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;35;7798.9456338662;-1.9758059681;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;36;789.1108920804;-2.0877418787;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;37;657.3218389800;-2.1613305705;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;38;660.5603681724;-2.3754640534;-87.0000000000;148
2024-06-29 07:51:08:483427;ea:21:6e:e:43:63;39;561.0311934287;-2.8074413820;-87.0000000000;148
