timestamp;MAC;subcarrier;amplitude;phase;RSSI;frame_control
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;0;3252.5782081297;2.8730485766;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;1;333.5880693310;-1.0185521849;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;2;294.7303852676;-1.8989845605;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;3;329.9469654354;-2.6318447589;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;4;301.2407674934;2.9376867691;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;5;271.2065633424;1.9965083487;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;6;208.5809195492;0.7039461191;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;7;235.0319127268;-0.7372426503;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;8;358.5205712369;-1.8563755507;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;9;449.0879646573;-2.8057585234;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;10;536.2629951805;2.6921225767;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;11;600.8660416432;1.9030728082;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;12;639.7655820689;1.1351134538;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;13;668.1893444227;0.3212772937;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;14;640.5599113276;-0.4420029451;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;15;648.4597134749;-1.2246603632;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;16;634.8235975450;-2.0612169592;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;17;590.8231545903;-2.8391116624;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;18;568.9086042591;2.5882103582;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;19;514.5104469299;1.6876779793;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;20;457.5423477668;0.7714887050;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;21;452.2698309638;-0.1375193465;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;22;420.0773738253;-1.1774701392;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;23;431.2968815097;-2.1497959582;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;24;418.8711018917;-3.0770889620;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;25;418.6096033299;2.3528161247;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;26;389.6074947944;1.4550371091;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;27;334.7909795678;0.5747473733;-75.0000000000;148
2024-06-29 07:42:08:694193;f0:c8:14:e5:cc:a7;28;11265.0000000000;0.0000000000;-75.0000000000;148
