timestamp;MAC;subcarrier;amplitude;phase;RSSI;frame_control
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;0;3252.5782081297;2.8730485766;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;1;274.4886154288;0.8163161430;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;2;334.6550462790;-0.3444309747;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;3;403.5467754796;-1.5187342341;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;4;467.4879677596;-2.9194434433;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;5;392.0459156783;1.8392855087;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;6;333.6540124141;0.5172873803;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;7;336.6808577867;-1.2847448851;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;8;377.5950211536;-2.8097921863;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;9;413.2602085853;2.0214576529;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;10;524.3824939870;0.5610250231;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;11;559.6445300367;-0.8460830533;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;12;613.1769728227;-2.0468430086;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;13;709.2221090744;2.8849866075;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;14;690.0028985446;1.5678977842;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;15;711.4246270688;0.3470897274;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;16;723.0525568726;-0.9812593938;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;17;658.7412238505;-2.2464855855;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;18;663.3038519412;2.7616461868;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;19;614.0561863543;1.3807465307;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;20;552.3594843940;0.0924628684;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;21;500.9371218027;-1.2604089197;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;22;540.3896742167;-2.7019470569;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;23;517.0348150753;2.2259023305;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;24;563.0719314617;0.8130293203;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;25;537.8001487542;-0.5962540924;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;26;508.3433878787;-1.9180547265;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;27;508.3197812401;3.0272422057;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;28;11265.0000000000;0.0000000000;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;29;37739.1671344241;-2.0966735131;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;30;0.0000000000;0.0000000000;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;31;3323.4808559701;-1.3601232941;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;32;3234.3778381630;-0.3221416377;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;33;5224.1418434036;-1.7678915638;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;34;5970.2095440612;2.1106987640;-74.0000000000;148
2024-06-29 07:41:12:277131;f0:c8:14:e5:cc:a7;35;7798.9456338662;-1.9758059681;-74.0000000000;148
