mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731983505.342841,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(205-237j),(265+7j),(197+115j),(-129+184j),(151+117j),(-115+181j),(122+183j),(183-107j),(126+217j),(-223+83j),(-43-234j),(-250+18j),(-30+220j),(-236-69j),(-151+221j),(-214-123j),(198-145j),(-113-240j),(210-74j),(23-256j),(-197-37j),(61-126j),(219+96j),17j,(-3-2j),(9+21j),(-10-4j),(9+12j),(1023-32j),(251+92j),(333-59j),(290-177j),(184-285j),(50-359j),(-105-426j),(-230-463j),(-390-488j),(-514-491j),(-640-476j),(-712-454j),(-769-400j),(-786-324j),(-782-240j),(-750-139j),(-668-39j),(12-14j),(37+11j),(-1+15j),(36+22j),(1-1j),(-5-30j),(-7+13j),(-17+14j),(5-6j),(23+21j),(-27+22j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983505.343166,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(5+239j),(103+281j),(226+282j),(366+145j),(444-32j),(459-199j),(429-352j),(349-490j),(349-490j),(171-624j),(62-644j),(-40-626j),(-142-572j),(-229-491j),(-304-387j),(-359-250j),(-380-101j),(-377+52j),(-361+202j),(-323+327j),(-278+442j),(-191+552j),(-135+606j),(-42+647j),(55+639j),(160+582j),(255+439j),(244+171j),(1023-32j),(-215+157j),(-144+315j),(4+352j),(160+293j),(301+205j),(420+87j),(520-65j),(584-178j),(628-326j),(647-442j),(632-555j),(580-650j),(502-703j),(386-736j),(246-712j),(118-664j),(-8-571j),(-125-443j),(-231-283j),(-290-111j),(-313+80j),(-294+257j),(-227+428j),(-89+578j),(122+668j),(362+643j),(500+528j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983505.541708,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(72+256j),(223+211j),(345+101j),(382-92j),(338-285j),(236-430j),(117-538j),(-25-591j),(-153-602j),(-270-577j),(-377-511j),(-445-426j),(-492-315j),(-508-185j),(-476-50j),(-419+82j),(-330+205j),(-214+320j),(-89+398j),(47+462j),(172+491j),(312+493j),(399+476j),(497+409j),(554+317j),(576+185j),(503+20j),(275-118j),(1023-32j),(27+266j),(207+264j),(303+160j),(334-12j),(311-176j),(254-347j),(157-495j),(64-602j),(-64-697j),(-189-755j),(-319-781j),(-431-751j),(-522-681j),(-585-580j),(-612-431j),(-609-283j),(-554-122j),(-461+29j),(-328+166j),(-163+260j),(21+325j),(208+330j),(391+276j),(562+157j),(673-54j),(668-303j),(562-477j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983505.546538,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(189-142j),(173-237j),(109-334j),(-74-384j),(-263-354j),(-405-285j),(-524-182j),(-590-72j),(-614+53j),(-616+165j),(-583+271j),(-515+349j),(-420+407j),(-307+447j),(-176+452j),(-38+431j),(100+376j),(230+307j),(345+225j),(446+124j),(523+30j),(576-67j),(600-170j),(594-263j),(542-355j),(433-424j),(264-430j),(40-295j),(1023-32j),(235+120j),(338-23j),(305-163j),(196-281j),(46-358j),(-109-415j),(-266-447j),(-422-451j),(-564-431j),(-691-377j),(-781-316j),(-836-233j),(-850-130j),(-824-28j),(-757+78j),(-650+174j),(-510+260j),(-348+304j),(-163+321j),(17+305j),(189+263j),(352+168j),(484+25j),(564-155j),(554-376j),(439-586j),(279-663j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983505.865724,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-105+237j),(69+296j),(256+262j),(397+64j),(421-170j),(340-376j),(185-537j),(-12-604j),(-198-593j),(-376-527j),(-513-399j),(-592-238j),(-594-53j),(-530+120j),(-414+268j),(-246+361j),(-51+395j),(144+373j),(314+277j),(453+150j),(538-2j),(563-186j),(536-345j),(440-490j),(293-587j),(98-604j),(-108-502j),(-203-217j),(1023-32j),(215-161j),(97-334j),(-91-338j),(-259-224j),(-358-43j),(-405+163j),(-366+381j),(-277+562j),(-126+705j),(62+797j),(263+816j),(448+754j),(608+626j),(702+438j),(729+229j),(674+20j),(555-166j),(365-282j),(144-340j),(-72-301j),(-268-196j),(-397-20j),(-438+224j),(-367+467j),(-145+670j),(176+725j),(427+611j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983505.896394,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-171-168j),(-283-107j),(-368+2j),(-354+197j),(-258+371j),(-138+487j),(13+562j),(132+585j),(285+566j),(394+510j),(474+430j),(536+337j),(551+220j),(537+92j),(488-33j),(401-153j),(290-266j),(168-354j),(38-422j),(-103-459j),(-224-488j),(-335-480j),(-447-442j),(-526-383j),(-582-287j),(-590-157j),(-508+2j),(-271+127j),(1023-32j),(-33-262j),(-207-270j),(-305-159j),(-338+11j),(-316+175j),(-269+336j),(-205+481j),(-105+610j),(8+708j),(127+783j),(238+813j),(346+802j),(441+744j),(511+643j),(562+516j),(556+367j),(533+207j),(458+48j),(348-104j),(215-229j),(65-326j),(-133-368j),(-330-357j),(-517-282j),(-673-109j),(-729+124j),(-665+302j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983506.375630,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-400-55j),(-356+93j),(-286+224j),(-163+338j),(-18+415j),(121+443j),(245+441j),(337+424j),(431+380j),(498+333j),(537+276j),(573+205j),(563+134j),(542+59j),(508-27j),(445-112j),(369-195j),(286-285j),(209-362j),(128-433j),(56-494j),(-2-544j),(-79-574j),(-145-584j),(-209-562j),(-275-504j),(-315-370j),(-253-136j),(1023-32j),(216-156j),(165-315j),(50-368j),(-89-349j),(-208-311j),(-342-264j),(-458-213j),(-570-142j),(-663-87j),(-743-18j),(-797+46j),(-822+99j),(-806+156j),(-767+202j),(-696+263j),(-592+295j),(-483+325j),(-333+351j),(-184+349j),(-26+343j),(123+324j),(277+269j),(428+192j),(555+68j),(624-108j),(620-309j),(548-461j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983506.541104,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(535+117j),(484-107j),(372-302j),(161-478j),(-108-566j),(-353-538j),(-572-436j),(-718-273j),(-805-101j),(-830+86j),(-795+275j),(-697+425j),(-564+526j),(-388+599j),(-189+617j),(19+575j),(19+575j),(379+316j),(503+155j),(591-29j),(641-211j),(627-419j),(584-552j),(480-688j),(332-765j),(135-778j),(-87-657j),(-219-324j),(1023-32j),(333-125j),(274-360j),(92-450j),(-141-408j),(-343-308j),(-525-140j),(-660+85j),(-731+278j),(-751+514j),(-710+718j),(-630+894j),(-630+894j),(-319+1096j),(-127+1095j),(88+1002j),(253+865j),(381+673j),(458+430j),(465+173j),(400-85j),(273-324j),(78-493j),(-179-591j),(-474-583j),(-775-414j),(-963-103j),(-984+205j),(10245+0j),(-11776-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983506.545162,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-269+282j),(-186+382j),(-49+464j),(253+443j),(487+289j),(639+54j),(679-195j),(640-430j),(517-621j),(345-769j),(146-825j),(-63-810j),(-260-735j),(-412-577j),(-509-390j),(-530-156j),(-503+73j),(-403+273j),(-265+445j),(-74+581j),(129+655j),(317+665j),(509+618j),(657+502j),(758+340j),(781+107j),(639-130j),(298-250j),(1023-32j),(169+307j),(398+205j),(455-12j),(355-236j),(180-418j),(-47-533j),(-290-579j),(-541-559j),(-774-464j),(-965-310j),(-1092-105j),(-1126+114j),(-1071+346j),(-941+536j),(-757+663j),(-515+757j),(-245+727j),(8+633j),(204+453j),(359+218j),(415-45j),(363-327j),(205-580j),(-75-743j),(-435-755j),(-776-569j),(-910-295j),(10245+0j),(-11776-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983506.915920,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(318-328j),(180-381j),(36-405j),(-142-398j),(-297-333j),(-419-238j),(-503-136j),(-559-35j),(-585+68j),(-588+162j),(-561+244j),(-516+313j),(-446+369j),(-359+413j),(-262+436j),(-151+449j),(-30+452j),(85+435j),(206+413j),(299+382j),(396+343j),(470+317j),(528+267j),(574+205j),(584+133j),(561+29j),(459-80j),(236-153j),(1023-32j),(48+258j),(214+268j),(321+194j),(381+64j),(404-73j),(415-218j),(421-343j),(405-466j),(379-579j),(349-664j),(298-731j),(248-766j),(171-775j),(98-757j),(11-705j),(-83-623j),(-160-516j),(-234-391j),(-296-254j),(-344-99j),(-372+53j),(-370+221j),(-331+376j),(-240+521j),(-92+642j),(105+693j),(271+672j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
