mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731983115.579371,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(138+437j),(218+381j),(300+309j),(407+139j),(451-55j),(429-236j),(375-384j),(285-509j),(202-600j),(105-664j),(-7-701j),(-111-698j),(-213-665j),(-296-605j),(-377-517j),(-439-403j),(-483-256j),(-497-122j),(-502+24j),(-495+157j),(-483+305j),(-436+445j),(-394+535j),(-329+619j),(-235+656j),(-106+673j),(49+583j),(170+316j),(1023-32j),(-355+26j),(-426+233j),(-337+380j),(-190+448j),(-19+486j),(158+473j),(354+444j),(500+413j),(662+341j),(787+274j),(890+186j),(972+96j),(1004-20j),(1001-143j),(934-247j),(837-356j),(708-424j),(540-487j),(354-515j),(150-512j),(-63-475j),(-252-392j),(-422-272j),(-565-95j),(-639+154j),(-598+421j),(-499+562j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983115.583495,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(261-181j),(220-305j),(121-411j),(-91-426j),(-293-348j),(-438-218j),(-536-68j),(-574+106j),(-583+239j),(-553+376j),(-492+497j),(-402+583j),(-287+637j),(-164+655j),(-24+642j),(119+585j),(242+490j),(350+372j),(446+240j),(510+99j),(569-56j),(580-214j),(579-334j),(528-456j),(444-542j),(312-608j),(117-578j),(-84-348j),(1023-32j),(355+42j),(452-172j),(380-341j),(225-432j),(41-472j),(-150-482j),(-351-436j),(-512-387j),(-678-290j),(-818-187j),(-917-53j),(-979+81j),(-982+231j),(-941+373j),(-835+489j),(-695+591j),(-525+640j),(-333+649j),(-123+611j),(76+531j),(269+399j),(408+235j),(506+20j),(535-228j),(441-492j),(236-694j),(32-725j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983115.587453,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(188-544j),(4-457j),(-162-588j),(469+451j),(-629-198j),(644-81j),(500-336j),(19+193j),(-46+532j),(-183-432j),(330+255j),(-380-26j),(7+8j),(-146+413j),(-99-490j),(-379-454j),(599+304j),(-727-77j),(759-203j),(640-463j),(-433+651j),(-131+94j),(110+664j),(-343-471j),(28-15j),(18-5j),(11+10j),(45+129j),(1023-32j),(-204+300j),(-23+475j),(199+469j),(363+317j),(468+113j),(485-122j),(424-373j),(321-564j),(136-733j),(-69-827j),(-302-855j),(-524-826j),(-728-699j),(-881-516j),(-921-264j),(-912-14j),(10-6j),(6+4j),(-2+5j),(6+0j),(-10+2j),(16+0j),(-16-5j),(9-4j),(9-4j),(-4+7j),(6+70j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983115.602639,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-208+429j),(-22+435j),(151+400j),(299+297j),(417+153j),(474+18j),(513-132j),(529-248j),(514-362j),(487-462j),(444-532j),(386-594j),(323-618j),(233-635j),(143-619j),(47-588j),(-57-537j),(-172-491j),(-269-423j),(-387-347j),(-473-280j),(-561-225j),(-633-161j),(-691-92j),(-711-4j),(-671+89j),(-550+195j),(-273+229j),(1023-32j),(-67-354j),(-272-396j),(-390-316j),(-461-190j),(-472-44j),(-479+127j),(-479+271j),(-474+431j),(-452+578j),(-427+726j),(-394+828j),(-345+907j),(-291+960j),(-233+966j),(-136+972j),(-54+909j),(50+835j),(147+711j),(236+586j),(330+432j),(407+255j),(456+74j),(474-149j),(441-352j),(338-559j),(148-715j),(-55-760j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983115.689535,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(386-159j),(276-336j),(120-445j),(-47-477j),(-202-461j),(-328-413j),(-440-333j),(-548-252j),(-593-149j),(-642-43j),(-667+73j),(-672+187j),(-657+298j),(-627+408j),(-578+505j),(-522+594j),(-451+666j),(-373+727j),(-290+775j),(-208+807j),(-143+827j),(-62+861j),(4+839j),(82+831j),(150+822j),(204+802j),(270+783j),(330+759j),(1023-32j),(441+689j),(499+649j),(546+601j),(600+546j),(648+480j),(687+408j),(741+333j),(743+235j),(755+125j),(747+31j),(723-76j),(679-174j),(617-273j),(533-356j),(436-436j),(324-487j),(207-518j),(81-524j),(-38-509j),(-162-469j),(-269-404j),(-355-304j),(-428-169j),(-457-19j),(-430+154j),(-334+320j),(-155+445j),(10246+4096j),(-11077-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983116.012818,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-287-290j),(-371+13j),(-224+275j),(77+350j),(337+193j),(417-102j),(309-374j),(71-546j),(-258-548j),(-533-376j),(-677-85j),(-653+235j),(-466+502j),(-175+629j),(139+590j),(384+394j),(474+121j),(412-165j),(218-365j),(-60-415j),(-319-335j),(-484-108j),(-535+172j),(-411+433j),(-158+594j),(152+574j),(379+340j),(318-10j),(1023-32j),(80+304j),(365+215j),(448-60j),(303-311j),(40-411j),(-251-339j),(-442-113j),(-499+204j),(-367+512j),(-71+722j),(299+734j),(629+573j),(847+236j),(863-174j),(679-523j),(336-726j),(-48-728j),(-360-525j),(-495-201j),(-438+134j),(-200+352j),(123+369j),(396+180j),(480-168j),(283-523j),(-144-653j),(-543-447j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983116.019952,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-57+328j),(138+284j),(286+157j),(327-38j),(281-239j),(181-383j),(64-487j),(-84-553j),(-228-575j),(-349-561j),(-461-508j),(-547-439j),(-598-349j),(-610-228j),(-595-112j),(-546+15j),(-440+130j),(-330+231j),(-205+326j),(-66+384j),(64+429j),(207+446j),(327+438j),(443+400j),(516+327j),(567+210j),(521+53j),(308-100j),(1023-32j),(-24+314j),(166+388j),(293+330j),(368+183j),(386+22j),(355-154j),(303-316j),(219-472j),(123-603j),(1-717j),(-129-783j),(-248-818j),(-372-809j),(-487-748j),(-583-636j),(-636-502j),(-646-342j),(-603-166j),(-527+1j),(-399+158j),(-244+281j),(-52+358j),(160+382j),(366+336j),(565+179j),(664-63j),(619-310j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983116.320957,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(236-61j),(142-256j),(-46-378j),(-303-372j),(-519-224j),(-662-6j),(-679+222j),(-626+447j),(-478+632j),(-290+727j),(-87+747j),(103+682j),(246+556j),(342+374j),(360+176j),(308-30j),(179-209j),(3-327j),(-200-387j),(-377-382j),(-577-323j),(-704-215j),(-787-60j),(-809+118j),(-725+290j),(-572+447j),(-322+487j),(-31+335j),(1023-32j),(-249-74j),(-278+101j),(-139+190j),(51+187j),(242+96j),(396-61j),(492-259j),(519-483j),(455-693j),(343-846j),(182-974j),(-26-1022j),(-224-986j),(-415-873j),(-532-679j),(-599-465j),(-559-230j),(-450-19j),(-269+125j),(-44+189j),(169+177j),(369+51j),(489-141j),(498-401j),(343-670j),(43-836j),(-258-818j),(10245+0j),(-11264-32640j),(1152+0j),(1719-3250j)
6c3b6baef921,1731983116.636507,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-70-356j),(-195-391j),(-340-377j),(-478-228j),(-557-59j),(-558+117j),(-509+270j),(-415+393j),(-309+460j),(-196+509j),(-71+511j),(47+487j),(156+418j),(254+330j),(340+222j),(398+91j),(421-46j),(431-193j),(431-193j),(372-432j),(321-517j),(227-604j),(160-634j),(61-644j),(-28-614j),(-143-545j),(-224-397j),(-214-141j),(1023-32j),(158-152j),(56-293j),(-90-301j),(-243-230j),(-366-139j),(-478-24j),(-545+132j),(-602+245j),(-618+389j),(-606+497j),(-565+601j),(-485+676j),(-378+720j),(-246+724j),(-94+691j),(36+622j),(160+511j),(257+367j),(337+198j),(359+20j),(365-165j),(298-324j),(197-471j),(32-580j),(-189-617j),(-414-540j),(-525-403j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983116.957946,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-153-367j),(-289-180j),(-315+38j),(-221+255j),(-16+384j),(207+408j),(422+342j),(595+180j),(680+2j),(687-202j),(629-400j),(493-542j),(330-641j),(142-655j),(-57-601j),(-210-472j),(-312-288j),(-338-75j),(-316+133j),(-210+318j),(-57+464j),(156+549j),(318+561j),(515+493j),(649+346j),(717+134j),(621-116j),(298-251j),(1023-32j),(181+325j),(414+228j),(467+35j),(366-156j),(188-274j),(-41-318j),(-293-275j),(-481-175j),(-652+15j),(-733+239j),(-742+482j),(-666+698j),(-504+872j),(-291+971j),(-26+976j),(189+900j),(379+722j),(490+500j),(513+243j),(432+0j),(269-199j),(46-299j),(-208-288j),(-436-142j),(-565+127j),(-514+446j),(-299+668j),(10245+0j),(-12032-32640j),(128+0j),(1719-3250j)
