mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731983906.427632,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(569+113j),(521-48j),(408-187j),(207-263j),(-54-270j),(-272-198j),(-441-62j),(-577+81j),(-721+204j),(-815+338j),(-861+473j),(-867+571j),(-844+627j),(-811+687j),(-728+685j),(-625+662j),(-521+631j),(-342+533j),(-206+427j),(-75+299j),(100+179j),(245+36j),(376-75j),(454-187j),(500-296j),(489-381j),(375-407j),(136-347j),(1023-32j),(200+335j),(385+338j),(451+320j),(427+254j),(338+209j),(242+164j),(145+107j),(45+59j),(-53+10j),(-134-37j),(-202-84j),(-243-140j),(-260-184j),(-283-223j),(-285-274j),(-254-308j),(-237-323j),(-233-342j),(-213-345j),(-205-334j),(-202-312j),(-189-289j),(-197-248j),(-197-183j),(-195-106j),(-174-29j),(-153+55j),(10245+0j),(-13056-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983906.432900,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-545-151j),(-444+252j),(-98+432j),(243+224j),(215-137j),(-106-299j),(-456-74j),(-452+400j),(-109+743j),(468+751j),(908+323j),(987-276j),(652-847j),(33-1043j),(-556-813j),(-864-312j),(-758+229j),(-373+511j),(29+469j),(263+181j),(158-132j),(-127-223j),(-380-63j),(-401+279j),(-122+569j),(291+565j),(525+205j),(313-201j),(1023-32j),(343+193j),(488-183j),(278-480j),(-29-491j),(-239-308j),(-279-112j),(-183+25j),(-58+33j),(-31-51j),(-78-110j),(-178-114j),(-275-23j),(-293+127j),(-220+274j),(-59+381j),(140+370j),(300+256j),(394+87j),(382-122j),(262-301j),(37-372j),(-157-308j),(-283-135j),(-256+80j),(-99+196j),(71+147j),(89+14j),(10245+0j),(-13056-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983906.434209,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-361+439j),(-202+470j),(-39+448j),(150+289j),(264+58j),(267-178j),(212-412j),(105-588j),(-45-743j),(-201-848j),(-360-908j),(-507-917j),(-622-872j),(-715-788j),(-754-674j),(-744-538j),(-692-379j),(-604-234j),(-463-84j),(-304+57j),(-127+166j),(54+251j),(223+292j),(392+304j),(529+251j),(602+162j),(573+11j),(347-122j),(1023-32j),(-76+387j),(81+525j),(178+516j),(212+450j),(191+357j),(151+250j),(81+166j),(18+76j),(-54-11j),(-121-69j),(-178-129j),(-207-169j),(-237-218j),(-248-247j),(-281-268j),(-272-292j),(-263-299j),(-266-305j),(-279-303j),(-275-278j),(-280-257j),(-284-216j),(-282-155j),(-270-79j),(-225+0j),(-154+72j),(-115+51j),(10245+0j),(-13056-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983906.495055,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-383+486j),(-213+521j),(-40+497j),(176+333j),(301+105j),(337-159j),(307-381j),(262-592j),(117-787j),(-12-922j),(-153-1021j),(-275-1060j),(-392-1070j),(-490-1023j),(-568-932j),(-599-800j),(-609-626j),(-557-441j),(-485-255j),(-382-64j),(-266+120j),(-134+267j),(24+414j),(168+497j),(305+537j),(426+510j),(491+371j),(391+105j),(1023-32j),(-310+294j),(-272+517j),(-185+583j),(-108+543j),(-59+473j),(-16+354j),(-1+241j),(24+121j),(34+0j),(43-101j),(58-192j),(81-269j),(85-326j),(94-380j),(95-412j),(102-435j),(110-445j),(100-450j),(90-439j),(61-430j),(55-400j),(-11-383j),(-62-338j),(-115-267j),(-162-182j),(-181-84j),(-183-57j),(10245+0j),(-13056-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983906.495703,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(564+255j),(559-80j),(360-340j),(-9-382j),(-280-159j),(-313+179j),(-143+473j),(206+608j),(560+548j),(874+290j),(1023-114j),(958-526j),(709-883j),(329-1082j),(-91-1082j),(-467-891j),(-669-553j),(-689-195j),(-530+111j),(-266+276j),(33+291j),(281+121j),(385-119j),(337-405j),(138-600j),(-165-640j),(-417-438j),(-391-49j),(1023-32j),(47-428j),(-285-511j),(-505-359j),(-546-121j),(-469+71j),(-314+168j),(-150+184j),(-24+118j),(31+6j),(32-103j),(-33-199j),(-117-250j),(-233-254j),(-335-193j),(-418-102j),(-446+27j),(-429+144j),(-364+276j),(-260+366j),(-116+410j),(46+408j),(166+345j),(270+209j),(294+33j),(214-108j),(71-189j),(-29-198j),(10245+0j),(-13056-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983906.722169,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(374+571j),(473+404j),(518+218j),(440-75j),(248-295j),(8-436j),(-248-514j),(-493-547j),(-728-529j),(-934-466j),(-1074-382j),(-1181-285j),(-1243-175j),(-1234-58j),(-1186+50j),(-1065+140j),(-923+226j),(-724+280j),(-512+330j),(-276+342j),(-37+361j),(190+330j),(396+292j),(558+221j),(685+128j),(736+3j),(652-149j),(366-246j),(1023-32j),(12+468j),(12+468j),(342+574j),(375+488j),(354+380j),(295+269j),(226+151j),(156+37j),(77-69j),(9-169j),(-50-251j),(-87-322j),(-122-383j),(-151-428j),(-183-464j),(-200-481j),(-206-480j),(-227-472j),(-238-451j),(-254-407j),(-264-356j),(-284-290j),(-284-203j),(-282-107j),(-251-1j),(-183+102j),(-164+143j),(10245+0j),(-12800-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983907.429745,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(378-425j),(194-528j),(-32-543j),(-260-397j),(-394-167j),(-437+74j),(-414+315j),(-344+524j),(-244+690j),(-116+837j),(8+928j),(142+986j),(268+1008j),(375+972j),(475+893j),(540+782j),(560+612j),(551+432j),(526+261j),(460+79j),(402-108j),(292-278j),(191-405j),(75-523j),(-55-569j),(-175-567j),(-284-458j),(-294-196j),(1023-32j),(340-182j),(359-385j),(290-494j),(192-508j),(113-467j),(25-382j),(-43-308j),(-98-212j),(-162-120j),(-211-25j),(-247+49j),(-294+125j),(-314+204j),(-328+259j),(-329+320j),(-319+365j),(-287+386j),(-248+404j),(-214+410j),(-157+412j),(-82+404j),(-10+372j),(71+330j),(147+267j),(218+167j),(240+54j),(192-10j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983907.432603,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-508-302j),(-508-302j),(-486+264j),(-203+425j),(118+409j),(361+247j),(517-13j),(547-301j),(483-551j),(324-774j),(91-937j),(-171-983j),(-422-941j),(-633-812j),(-789-615j),(-854-375j),(-816-125j),(-709+95j),(-520+264j),(-288+379j),(-52+403j),(195+347j),(379+243j),(513+61j),(555-138j),(495-333j),(299-456j),(23-353j),(1023-32j),(367+114j),(531-100j),(495-284j),(374-396j),(234-420j),(86-387j),(-46-309j),(-128-210j),(-187-86j),(-204+47j),(-197+163j),(-158+273j),(-87+364j),(-2+421j),(100+446j),(194+431j),(288+386j),(353+316j),(399+225j),(422+112j),(410-11j),(357-113j),(263-209j),(135-270j),(-17-269j),(-154-196j),(-187-45j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983907.434389,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(563-63j),(494-262j),(345-430j),(70-469j),(-186-381j),(-376-234j),(-520-34j),(-608+160j),(-638+372j),(-637+557j),(-593+721j),(-520+851j),(-432+938j),(-320+986j),(-193+979j),(-66+924j),(65+829j),(169+692j),(257+528j),(337+342j),(381+161j),(398-31j),(395-208j),(364-376j),(291-488j),(183-566j),(19-547j),(-125-333j),(1023-32j),(380+51j),(523-129j),(515-245j),(437-308j),(352-328j),(241-312j),(139-283j),(36-246j),(-65-205j),(-165-144j),(-243-96j),(-319-52j),(-375+1j),(-421+50j),(-443+99j),(-459+134j),(-449+183j),(-428+212j),(-396+249j),(-341+274j),(-282+298j),(-192+320j),(-105+322j),(-6+302j),(106+250j),(186+161j),(165+79j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731983907.541073,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(608+140j),(581-108j),(455-326j),(183-442j),(-109-419j),(-347-293j),(-518-96j),(-635+92j),(-676+352j),(-655+574j),(-585+763j),(-476+903j),(-476+903j),(-190+1034j),(-20+1019j),(137+931j),(273+802j),(365+618j),(421+424j),(435+202j),(412-14j),(358-203j),(255-392j),(127-524j),(-18-592j),(-175-592j),(-308-471j),(-312-192j),(1023-32j),(322-223j),(289-462j),(182-557j),(52-535j),(-27-479j),(-102-382j),(-142-267j),(-183-142j),(-195-21j),(-199+98j),(-181+193j),(-165+287j),(-129+369j),(-85+429j),(-31+461j),(18+484j),(73+484j),(125+459j),(181+429j),(230+370j),(251+311j),(295+216j),(302+121j),(284+5j),(222-98j),(123-179j),(-15-185j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
