mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731984310.495698,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(453+89j),(435-74j),(393-221j),(347-374j),(257-500j),(159-585j),(63-631j),(-16-645j),(-108-628j),(-173-599j),(-237-529j),(-281-447j),(-308-349j),(-333-221j),(-337-90j),(-335+51j),(-313+205j),(-313+205j),(-255+475j),(-217+588j),(-182+686j),(-148+760j),(-99+804j),(-30+817j),(45+780j),(138+705j),(229+535j),(232+235j),(1023-32j),(-242+107j),(-179+271j),(-21+326j),(176+307j),(354+271j),(527+207j),(690+150j),(816+59j),(933-33j),(995-109j),(1037-186j),(1032-255j),(974-330j),(897-377j),(739-428j),(587-460j),(400-457j),(196-440j),(-5-393j),(-204-319j),(-383-234j),(-546-96j),(-648+68j),(-717+259j),(-695+499j),(-568+715j),(-452+828j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984310.654663,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(370-100j),(366-171j),(349-260j),(252-398j),(119-480j),(-20-520j),(-139-522j),(-226-497j),(-334-432j),(-392-356j),(-437-259j),(-440-155j),(-426-40j),(-385+71j),(-329+177j),(-249+281j),(-154+371j),(-53+443j),(55+501j),(154+536j),(254+547j),(318+550j),(415+516j),(472+454j),(507+368j),(513+233j),(449+81j),(250-68j),(1023-32j),(2+227j),(172+248j),(290+156j),(368+11j),(396-142j),(410-301j),(414-422j),(365-569j),(313-679j),(245-761j),(160-805j),(72-814j),(-31-787j),(-129-733j),(-216-637j),(-294-514j),(-349-364j),(-372-195j),(-372-25j),(-340+151j),(-289+291j),(-181+442j),(-38+542j),(139+595j),(346+577j),(532+459j),(613+328j),(10245+0j),(-11008-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984310.654959,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-195+252j),(-170+333j),(-105+420j),(59+468j),(230+443j),(362+380j),(454+287j),(521+172j),(531+79j),(525-27j),(482-128j),(414-212j),(322-284j),(214-337j),(85-373j),(-52-379j),(-189-362j),(-309-317j),(-426-263j),(-512-200j),(-593-121j),(-647-15j),(-651+49j),(-636+141j),(-577+222j),(-476+309j),(-304+342j),(-65+252j),(1023-32j),(-202-107j),(-299+39j),(-276+192j),(-164+318j),(-42+424j),(99+496j),(266+542j),(372+558j),(507+543j),(606+498j),(694+442j),(751+355j),(765+236j),(742+119j),(662-20j),(575-134j),(437-235j),(288-306j),(111-353j),(-68-360j),(-243-330j),(-393-258j),(-522-140j),(-614+30j),(-631+246j),(-540+462j),(-406+558j),(10245+0j),(-10752-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984311.300461,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-258+91j),(-245+158j),(-223+237j),(-150+357j),(-30+449j),(76+500j),(185+520j),(291+504j),(354+485j),(408+437j),(450+375j),(454+297j),(442+218j),(411+121j),(358+19j),(286-84j),(200-190j),(86-289j),(-13-374j),(-114-436j),(-215-494j),(-324-522j),(-383-538j),(-473-520j),(-514-453j),(-544-347j),(-503-182j),(-313+14j),(1023-32j),(95-257j),(-49-328j),(-168-285j),(-265-148j),(-318-7j),(-357+149j),(-367+309j),(-371+430j),(-350+561j),(-314+651j),(-272+723j),(-205+761j),(-133+766j),(-58+742j),(36+676j),(109+590j),(182+482j),(231+345j),(268+206j),(276+67j),(267-85j),(224-209j),(156-320j),(53-410j),(-89-464j),(-242-439j),(-336-376j),(10245+0j),(-11776-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984311.305728,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-312+164j),(-228+296j),(-87+409j),(170+481j),(435+399j),(634+212j),(731-38j),(711-294j),(600-515j),(416-677j),(187-751j),(-41-714j),(-237-598j),(-368-408j),(-423-188j),(-369+46j),(-226+255j),(-10+371j),(239+406j),(477+350j),(687+210j),(805-2j),(858-256j),(776-514j),(581-711j),(283-813j),(-57-704j),(-256-328j),(1023-32j),(283-215j),(96-425j),(-160-395j),(-340-181j),(-400+90j),(-340+382j),(-160+605j),(83+751j),(387+775j),(661+699j),(881+508j),(1002+254j),(1014-36j),(925-324j),(706-530j),(436-655j),(153-652j),(-104-530j),(-279-326j),(-345-79j),(-309+169j),(-165+357j),(69+458j),(333+421j),(560+232j),(654-74j),(568-339j),(10245+0j),(-12032-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984311.310461,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-281-164j),(-333-72j),(-378+28j),(-427+197j),(-422+352j),(-390+496j),(-333+596j),(-247+681j),(-198+714j),(-127+728j),(-59+716j),(12+666j),(58+592j),(129+494j),(196+376j),(238+230j),(299+71j),(320-84j),(359-255j),(376-390j),(394-544j),(368-666j),(365-752j),(311-813j),(235-818j),(115-793j),(-41-659j),(-163-348j),(1023-32j),(334-4j),(362-186j),(247-305j),(70-348j),(-128-357j),(-319-344j),(-500-295j),(-647-272j),(-775-213j),(-872-163j),(-943-102j),(-967-38j),(-947+41j),(-901+121j),(-803+184j),(-685+248j),(-537+293j),(-372+319j),(-199+333j),(-34+317j),(137+285j),(271+238j),(398+146j),(488+23j),(528-140j),(502-312j),(424-418j),(10245+0j),(-12032-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984311.503791,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(950-386j),(786-542j),(610-659j),(320-792j),(25-818j),(-233-730j),(-423-604j),(-558-416j),(-643-209j),(-687-4j),(-672+204j),(-621+396j),(-535+568j),(-435+716j),(-310+821j),(-180+891j),(-35+926j),(92+933j),(201+884j),(201+884j),(368+710j),(415+613j),(464+477j),(466+326j),(448+166j),(398+7j),(291-123j),(99-169j),(1023-32j),(211+160j),(433+80j),(557-49j),(632-174j),(653-291j),(669-387j),(669-441j),(633-523j),(582-567j),(505-605j),(408-608j),(287-602j),(157-574j),(12-528j),(-130-464j),(-269-359j),(-395-250j),(-497-105j),(-580+37j),(-621+203j),(-626+352j),(-572+532j),(-470+677j),(-293+786j),(-58+844j),(210+813j),(400+775j),(10245+0j),(-11776-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984311.659998,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(49-141j),(-20-66j),(-26+29j),(44+67j),(137+71j),(218+31j),(285-24j),(339-100j),(353-185j),(354-278j),(308-361j),(242-406j),(175-445j),(82-437j),(-3-395j),(-68-318j),(-120-211j),(-133-86j),(-112+51j),(-42+191j),(71+301j),(206+379j),(355+409j),(507+363j),(608+276j),(654+113j),(583-85j),(301-221j),(1023-32j),(122+337j),(337+298j),(395+143j),(313-24j),(145-124j),(-64-184j),(-280-151j),(-496-53j),(-652+100j),(-770+299j),(-794+530j),(-731+726j),(-731+726j),(-425+1004j),(-210+1016j),(13+982j),(216+834j),(341+615j),(385+382j),(339+134j),(208-64j),(2-197j),(-241-211j),(-469-110j),(-621+142j),(-605+456j),(-444+676j),(10245+0j),(-13056-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984312.301942,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-154+443j),(35+435j),(204+377j),(362+279j),(471+133j),(538-2j),(579-146j),(568-267j),(560-363j),(525-439j),(469-503j),(398-541j),(316-565j),(217-564j),(111-550j),(-18-495j),(-140-454j),(-261-394j),(-386-327j),(-501-263j),(-574-209j),(-663-123j),(-726-88j),(-756-6j),(-736+57j),(-683+157j),(-517+227j),(-239+238j),(1023-32j),(-96-301j),(-287-272j),(-391-186j),(-411-21j),(-406+129j),(-404+304j),(-356+472j),(-343+614j),(-320+751j),(-265+860j),(-235+939j),(-188+985j),(-117+1005j),(-37+993j),(42+919j),(123+828j),(209+705j),(285+550j),(363+378j),(422+183j),(452-30j),(452-229j),(408-437j),(305-633j),(123-801j),(-118-877j),(-339-853j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731984312.308721,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(335+102j),(365-64j),(354-225j),(249-369j),(102-481j),(-31-539j),(-171-567j),(-272-576j),(-358-554j),(-431-528j),(-488-481j),(-533-414j),(-542-330j),(-540-243j),(-520-135j),(-494-18j),(-445+98j),(-385+222j),(-342+339j),(-290+452j),(-256+550j),(-218+627j),(-177+686j),(-128+717j),(-57+727j),(32+685j),(133+559j),(186+282j),(1023-32j),(-305+21j),(-348+193j),(-263+306j),(-120+366j),(27+407j),(182+439j),(339+466j),(472+489j),(610+496j),(724+504j),(817+493j),(875+484j),(908+445j),(896+388j),(864+294j),(808+201j),(725+88j),(601-33j),(469-154j),(322-278j),(161-390j),(-10-484j),(-224-528j),(-435-535j),(-652-447j),(-823-277j),(-875-117j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
