mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731981769.129484,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-201+281j),(-79+363j),(101+384j),(320+237j),(418-21j),(364-266j),(206-468j),(-1-556j),(-254-545j),(-471-430j),(-608-243j),(-667-18j),(-619+215j),(-482+393j),(-278+506j),(-53+524j),(158+448j),(333+301j),(423+96j),(441-136j),(364-343j),(225-499j),(15-601j),(-216-599j),(-424-504j),(-576-286j),(-549-19j),(-281+189j),(1023-32j),(-179-279j),(-429-146j),(-467+86j),(-332+310j),(-115+412j),(154+420j),(389+319j),(565+113j),(661-143j),(636-437j),(493-682j),(269-853j),(-17-914j),(-300-852j),(-544-698j),(-689-445j),(-741-144j),(-646+131j),(-446+333j),(-185+434j),(80+413j),(317+260j),(446-3j),(425-304j),(204-567j),(-145-653j),(-417-529j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731981769.140884,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-429+47j),(-346+194j),(-237+312j),(-75+381j),(82+405j),(230+391j),(360+356j),(321+220j),(548+233j),(619+172j),(649+100j),(660+35j),(637-30j),(591-95j),(547-160j),(470-214j),(383-286j),(283-338j),(175-398j),(79-450j),(-22-509j),(-22-509j),(-196-569j),(-270-581j),(-340-560j),(-400-481j),(-420-338j),(-313-102j),(1023-32j),(243-224j),(186-406j),(61-457j),(-77-439j),(-198-376j),(-332-303j),(-442-201j),(-563-124j),(-670-33j),(-762+54j),(-817+145j),(-853+205j),(-857+274j),(-837+338j),(-777+383j),(-688+430j),(-585+453j),(-438+462j),(-294+468j),(-130+448j),(33+409j),(194+359j),(354+268j),(488+141j),(586-45j),(606-257j),(540-430j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731981769.195971,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-331-197j),(-355-118j),(-374-28j),(-354+144j),(-270+307j),(-169+414j),(-37+498j),(67+532j),(200+540j),(302+527j),(391+483j),(460+421j),(502+351j),(516+257j),(518+149j),(500+40j),(446-75j),(370-190j),(307-292j),(214-387j),(133-466j),(50-545j),(-44-600j),(-151-616j),(-241-593j),(-332-532j),(-375-380j),(-303-118j),(1023-32j),(232-221j),(142-400j),(18-448j),(-133-394j),(-249-317j),(-376-199j),(-478-76j),(-561+64j),(-627+207j),(-666+347j),(-684+460j),(-671+571j),(-620+646j),(-548+716j),(-432+741j),(-321+733j),(-193+702j),(-58+630j),(84+530j),(204+399j),(303+260j),(378+83j),(410-110j),(382-310j),(273-510j),(89-643j),(-68-666j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731981769.450873,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-50-212j),(-132-235j),(-238-211j),(-334-78j),(-358+100j),(-342+256j),(-284+391j),(-207+517j),(-94+586j),(-2+640j),(98+649j),(202+614j),(270+554j),(340+481j),(379+377j),(430+250j),(419+113j),(373-40j),(336-160j),(274-286j),(210-424j),(133-512j),(32-590j),(-82-638j),(-176-622j),(-282-570j),(-345-418j),(-305-147j),(1023-32j),(246-219j),(160-396j),(25-445j),(-127-379j),(-252-277j),(-369-139j),(-455+14j),(-520+176j),(-550+351j),(-559+498j),(-536+625j),(-491+740j),(-410+822j),(-299+870j),(-171+866j),(-47+824j),(78+741j),(196+618j),(289+462j),(350+273j),(369+88j),(346-117j),(269-303j),(130-467j),(-85-576j),(-333-575j),(-481-470j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731981770.119899,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-196-183j),(-303-92j),(-360+73j),(-246+303j),(-12+433j),(242+407j),(455+274j),(580+54j),(600-181j),(518-409j),(315-583j),(98-655j),(-121-621j),(-320-506j),(-443-349j),(-493-112j),(-444+128j),(-280+304j),(-88+402j),(143+451j),(366+378j),(539+232j),(665+31j),(643-219j),(548-440j),(326-590j),(38-567j),(-182-305j),(1023-32j),(293-180j),(146-422j),(-91-456j),(-303-302j),(-399-69j),(-405+211j),(-262+454j),(-46+629j),(247+696j),(549+630j),(790+452j),(945+190j),(974-111j),(891-415j),(678-646j),(391-770j),(78-775j),(-195-633j),(-378-399j),(-441-117j),(-364+164j),(-171+364j),(122+437j),(428+341j),(641+50j),(636-332j),(425-586j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731981770.133786,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-317+150j),(-288+216j),(-243+295j),(-76+392j),(116+413j),(280+395j),(424+330j),(522+276j),(618+162j),(666+57j),(681-46j),(661-137j),(616-225j),(537-302j),(433-360j),(315-397j),(176-430j),(27-427j),(-118-424j),(-260-391j),(-395-358j),(-494-330j),(-614-250j),(-679-170j),(-714-70j),(-683+58j),(-555+186j),(-270+239j),(1023-32j),(-106-330j),(-320-330j),(-421-208j),(-438-43j),(-401+139j),(-332+313j),(-257+462j),(-134+627j),(-4+744j),(121+835j),(249+887j),(371+905j),(478+871j),(558+823j),(638+708j),(667+580j),(671+425j),(632+240j),(562+68j),(459-101j),(327-241j),(147-381j),(-54-455j),(-277-467j),(-510-390j),(-695-211j),(-732-46j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731981770.135292,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-424-100j),(-402+15j),(-365+126j),(-278+290j),(-138+422j),(13+489j),(156+511j),(289+513j),(407+491j),(473+440j),(540+378j),(589+303j),(612+220j),(586+133j),(569+43j),(511-50j),(433-156j),(317-273j),(228-369j),(122-445j),(26-533j),(-97-583j),(-170-625j),(-265-636j),(-345-610j),(-425-535j),(-445-369j),(-340-105j),(1023-32j),(235-247j),(139-436j),-471j,(-159-401j),(-286-304j),(-409-176j),(-522-20j),(-608+98j),(-680+253j),(-739+381j),(-764+501j),(-761+607j),(-723+687j),(-644+737j),(-531+775j),(-410+763j),(-276+731j),(-122+655j),(30+557j),(165+424j),(299+272j),(380+103j),(444-87j),(452-301j),(372-526j),(201-696j),(43-752j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731981770.135595,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-21-490j),(-286-416j),(-435-249j),(-513-72j),(-548+119j),(-496+299j),(-403+417j),(-286+540j),(-169+611j),(3+657j),(137+658j),(320+665j),(447+604j),(569+512j),(662+409j),(746+300j),(777+172j),(813+70j),(824-83j),(779-185j),(742-320j),(695-409j),(648-527j),(558-574j),(474-662j),(368-723j),(265-760j),(163-770j),(1023-32j),(-45-770j),(-146-765j),(-257-725j),(-358-683j),(-456-603j),(-537-527j),(-601-417j),(-655-304j),(-675-161j),(-682-26j),(-649+119j),(-592+245j),(-499+349j),(-389+423j),(-258+478j),(-127+502j),(5+497j),(138+445j),(254+364j),(343+264j),(400+142j),(418+7j),(399-148j),(305-291j),(148-401j),(-51-430j),(-262-373j),(10246+8448j),(-11088-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731981770.174127,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-388+326j),(-157+489j),(98+527j),(340+454j),(505+310j),(599+114j),(637-83j),(594-258j),(529-444j),(420-577j),(271-675j),(116-742j),(-60-762j),(-241-756j),(-409-701j),(-561-613j),(-671-501j),(-754-368j),(-815-235j),(-840-87j),(-846+78j),(-816+224j),(-757+371j),(-691+491j),(-608+589j),(-513+680j),(-401+750j),(-259+790j),(1023-32j),(25+816j),(143+805j),(277+762j),(412+693j),(526+601j),(615+480j),(682+344j),(724+201j),(741+41j),(718-120j),(653-275j),(549-409j),(412-500j),(253-554j),(91-568j),(-73-537j),(-228-468j),(-348-356j),(-428-215j),(-456-64j),(-439+88j),(-369+229j),(-252+353j),(-88+438j),(115+434j),(321+328j),(444+120j),(10246+8448j),(-11088-32640j),0j,(1719-3250j)
6c3b6baef921,1731981770.458674,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-105+303j),(-46+332j),(39+354j),(208+307j),(372+173j),(453+51j),(510-88j),(541-190j),(541-190j),(486-445j),(431-524j),(330-591j),(259-600j),(140-605j),(27-572j),(-90-508j),(-190-410j),(-287-297j),(-374-183j),(-447-52j),(-486+59j),(-558+165j),(-572+301j),(-557+412j),(-487+504j),(-381+576j),(-203+558j),(15+364j),(1023-32j),(-322-136j),(-470+29j),(-442+183j),(-312+300j),(-169+386j),(7+435j),(180+466j),(367+471j),(546+456j),(707+402j),(837+334j),(933+252j),(985+153j),(989+58j),(951-69j),(870-162j),(751-273j),(590-340j),(415-392j),(220-417j),(37-404j),(-186-354j),(-378-241j),(-529-75j),(-609+162j),(-581+412j),(-474+544j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
