mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731980868.455780,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-44-396j),(-239-321j),(-390-183j),(-450+22j),(-427+229j),(-337+400j),(-211+523j),(-50+585j),(79+601j),(214+564j),(331+503j),(420+396j),(474+265j),(492+124j),(456-27j),(397-158j),(299-287j),(179-395j),(49-472j),(-91-519j),(-219-542j),(-376-509j),(-463-482j),(-551-403j),(-615-294j),(-622-136j),(-528+32j),(-275+154j),(1023-32j),(-68-280j),(-262-258j),(-356-123j),(-358+75j),(-300+248j),(-201+415j),(-34+568j),(96+674j),(280+739j),(463+756j),(638+727j),(775+641j),(880+506j),(930+340j),(915+152j),(850-33j),(730-209j),(540-344j),(320-439j),(80-466j),(-180-433j),(-389-320j),(-567-132j),(-673+120j),(-642+441j),(-468+709j),(-240+844j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980868.460568,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-142-436j),(-225-371j),(-308-296j),(-422-155j),(-485+19j),(-487+178j),(-450+302j),(-399+414j),(-330+488j),(-242+545j),(-142+572j),(-48+563j),(47+524j),(138+469j),(230+397j),(306+301j),(377+191j),(427+82j),(476-27j),(510-132j),(531-238j),(542-315j),(527-402j),(483-467j),(420-502j),(316-529j),(165-481j),(-19-301j),(1023-32j),(261+88j),(358-65j),(315-208j),(199-312j),(59-400j),(-99-473j),(-253-514j),(-411-549j),(-558-555j),(-685-541j),(-798-501j),(-876-446j),(-928-348j),(-944-243j),(-908-118j),(-831+18j),(-731+145j),(-571+265j),(-401+373j),(-207+438j),(1+477j),(221+473j),(432+413j),(626+286j),(763+58j),(803-213j),(743-397j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980868.489867,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-458+99j),(-373+208j),(-270+306j),(-126+390j),(34+425j),(181+416j),(305+373j),(388+328j),(476+241j),(522+162j),(549+80j),(551-2j),(524-79j),(481-158j),(421-229j),(340-294j),(253-358j),(163-403j),(62-447j),(-30-471j),(-112-487j),(-165-503j),(-252-491j),(-315-470j),(-363-425j),(-397-341j),(-380-218j),(-264-31j),(1023-32j),(125-212j),(15-331j),(-96-353j),(-213-295j),(-312-210j),(-413-95j),(-491-15j),(-563+110j),(-624+225j),(-661+325j),(-675+421j),(-672+502j),(-626+579j),(-560+636j),(-463+667j),(-342+672j),(-218+649j),(-66+596j),(78+514j),(214+407j),(318+292j),(429+133j),(491-41j),(507-243j),(440-460j),(287-625j),(117-710j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980868.490799,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(309+146j),(366-15j),(356-190j),(227-342j),(46-427j),(-125-434j),(-280-390j),(-414-293j),(-494-207j),(-541-81j),(-553+43j),(-524+157j),(-459+262j),(-367+347j),(-247+413j),(-119+435j),(22+435j),(149+406j),(268+346j),(368+283j),(456+192j),(527+86j),(552+5j),(559-102j),(520-196j),(439-287j),(285-332j),(62-254j),(1023-32j),(215+126j),(335-7j),(319-147j),(235-264j),(103-351j),(-50-415j),(-224-438j),(-365-434j),(-528-392j),(-659-328j),(-769-226j),(-842-107j),(-859+43j),(-820+190j),(-739+313j),(-612+425j),(-458+497j),(-268+524j),(-68+508j),(120+436j),(298+313j),(425+150j),(495-54j),(489-293j),(366-526j),(131-677j),(-85-693j),(10245+0j),(-11520-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980868.732405,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(145-353j),(-69-372j),(-269-314j),(-406-128j),(-453+77j),(-431+274j),(-354+442j),(-260+563j),(-102+651j),(44+684j),(183+671j),(293+612j),(387+518j),(457+393j),(497+255j),(496+93j),(454-74j),(378-226j),(275-368j),(168-472j),(31-562j),(-76-624j),(-239-642j),(-364-619j),(-473-548j),(-554-419j),(-552-209j),(-358+27j),(1023-32j),(79-325j),(-110-426j),(-277-350j),(-378-181j),(-411+21j),(-410+239j),(-362+432j),(-254+640j),(-118+813j),(31+931j),(200+1003j),(374+1030j),(550+985j),(701+873j),(799+714j),(861+504j),(836+291j),(759+52j),(620-164j),(413-338j),(193-449j),(-104-500j),(-379-446j),(-644-282j),(-828+11j),(-854+375j),(-730+634j),(10245+0j),(-11008-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980868.732787,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(190+366j),(319+217j),(398+44j),(399-139j),(344-304j),(271-436j),(185-530j),(97-604j),(28-658j),(-45-682j),(-112-685j),(-179-656j),(-221-604j),(-269-533j),(-316-450j),(-351-343j),(-389-235j),(-418-118j),(-456-1j),(-488+117j),(-521+218j),(-545+320j),(-577+387j),(-570+451j),(-533+488j),(-444+526j),(-292+502j),(-69+348j),(1023-32j),(-250-224j),(-411-132j),(-451-4j),(-395+138j),(-395+138j),(-216+428j),(-97+557j),(-15+698j),(85+816j),(179+916j),(261+989j),(326+1038j),(396+1049j),(447+1021j),(497+943j),(534+836j),(554+702j),(560+519j),(552+318j),(522+108j),(476-113j),(394-318j),(271-524j),(99-697j),(-151-807j),(-429-811j),(-645-695j),(10245+0j),(-11008-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980869.455336,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(27-373j),(-167-333j),(-322-212j),(-362-31j),(-319+134j),(-236+279j),(-105+380j),(39+454j),(167+492j),(302+501j),(432+459j),(526+406j),(599+335j),(652+227j),(666+120j),(629+4j),(565-112j),(447-229j),(315-326j),(156-400j),(-7-464j),(-204-487j),(-345-499j),(-510-457j),(-631-361j),(-700-229j),(-668-28j),(-399+158j),(1023-32j),(20-454j),(-227-566j),(-405-507j),(-474-338j),(-492-152j),(-444+50j),(-352+270j),(-260+444j),(-110+628j),(59+755j),(218+852j),(378+913j),(533+923j),(669+890j),(782+779j),(850+663j),(860+495j),(842+318j),(767+131j),(639-53j),(475-222j),(265-327j),(34-396j),(-225-393j),(-483-270j),(-661-40j),(-654+237j),(10245+0j),(-12032-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980869.459932,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(202+288j),(362+184j),(462+10j),(462+10j),(251-332j),(81-420j),(-106-450j),(-272-453j),(-438-412j),(-582-352j),(-691-266j),(-757-168j),(-785-62j),(-785+53j),(-747+165j),(-665+266j),(-554+356j),(-390+421j),(-222+480j),(-44+511j),(151+521j),(337+496j),(508+456j),(665+376j),(762+262j),(799+107j),(717-94j),(402-245j),(1023-32j),(51+487j),(330+581j),(506+487j),(572+303j),(571+114j),(511-108j),(417-310j),(293-512j),(143-701j),(-19-835j),(-170-948j),(-338-1018j),(-492-1052j),(-640-1025j),(-752-926j),(-838-806j),(-870-636j),(-867-454j),(-817-235j),(-713-28j),(-568+165j),(-369+333j),(-131+455j),(139+506j),(446+454j),(704+251j),(754-31j),(10245+0j),(-11776-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980869.498644,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-534+66j),(-442+213j),(-321+329j),(-147+416j),(46+434j),(210+412j),(358+353j),(477+287j),(579+199j),(649+112j),(699+23j),(722-62j),(718-147j),(690-226j),(638-288j),(560-345j),(457-401j),(331-431j),(208-469j),(79-489j),(-42-517j),(-155-519j),(-271-514j),(-384-488j),(-467-437j),(-540-345j),(-527-187j),(-353+11j),(1023-32j),(162-325j),(36-505j),(-103-544j),(-221-483j),(-318-402j),(-400-281j),(-470-167j),(-543-40j),(-592+93j),(-634+216j),(-667+342j),(-677+440j),(-651+530j),(-622+598j),(-544+654j),(-461+688j),(-363+685j),(-232+680j),(-102+636j),(37+563j),(172+490j),(300+369j),(415+227j),(507+51j),(530-182j),(466-401j),(349-550j),(10245+0j),(-10752-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731980869.739828,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(393-279j),(264-460j),(84-581j),(-189-561j),(-412-446j),(-549-268j),(-633-75j),(-641+98j),(-583+291j),(-492+427j),(-492+427j),(-217+604j),(-59+606j),(112+571j),(262+508j),(392+393j),(494+239j),(562+85j),(584-79j),(582-234j),(552-373j),(498-479j),(407-587j),(286-648j),(158-658j),-626j,(-144-491j),(-202-215j),(1023-32j),(227-124j),(167-299j),(21-360j),(-151-327j),(-297-257j),(-434-163j),(-549-52j),(-629+99j),(-683+249j),(-705+393j),(-688+532j),(-630+649j),(-533+745j),(-397+800j),(-244+804j),(-78+770j),(90+690j),(235+547j),(348+374j),(421+164j),(448-35j),(392-274j),(274-486j),(70-642j),(-215-705j),(-513-619j),(-678-431j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
