mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731982172.383267,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(790-833j),(210-1062j),(-395-946j),(-892-379j),(-842+355j),(-343+773j),(269+733j),(679+313j),(693-213j),(375-653j),(-162-780j),(-661-562j),(-933-68j),(-848+511j),(-448+943j),(142+1071j),(688+848j),(999+347j),(999-204j),(699-632j),(248-837j),(-231-728j),(-503-432j),(-537-44j),(-353+267j),(-37+365j),(206+221j),(192-62j),(1023-32j),(233+155j),(441-131j),(363-460j),(58-660j),(-296-653j),(-607-457j),(-778-91j),(-736+235j),(-527+539j),(-199+686j),(133+651j),(396+447j),(494+151j),(415-142j),(179-317j),(-97-316j),(-294-135j),(-341+143j),(-188+396j),(114+499j),(462+377j),(642+74j),(612-334j),(313-675j),(-207-734j),(-631-426j),(-791-58j),(10245+0j),(-12544-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982172.410406,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-715+34j),(-660+334j),(-479+583j),(-123+707j),(226+625j),(461+409j),(567+122j),(539-132j),(397-385j),(182-536j),(-79-595j),(-337-551j),(-552-406j),(-703-210j),(-776+23j),(-747+257j),(-646+469j),(-475+622j),(-283+692j),(-68+691j),(113+628j),(246+501j),(360+338j),(378+151j),(333-23j),(228-161j),(71-216j),(-73-129j),(1023-32j),(165-117j),(116-325j),(-14-433j),(-177-463j),(-311-434j),(-433-366j),(-505-271j),(-557-142j),(-560-20j),(-528+105j),(-445+214j),(-331+296j),(-197+336j),(-50+331j),(81+274j),(183+181j),(263+49j),(278-98j),(238-245j),(147-373j),(13-445j),(-164-464j),(-352-397j),(-499-241j),(-564-8j),(-505+234j),(-323+376j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982172.412524,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-598-579j),(-679-404j),(-717-218j),(-715+39j),(-599+269j),(-444+424j),(-265+510j),(-62+548j),(103+537j),(275+499j),(437+419j),(550+317j),(653+207j),(722+90j),(771-30j),(780-141j),(773-245j),(694-329j),(636-383j),(549-421j),(453-445j),(329-458j),(238-430j),(103-388j),(-5-327j),(-111-254j),(-169-155j),(-150-6j),(1023-32j),(49-204j),(-72-331j),(-173-404j),(-267-406j),(-334-421j),(-386-412j),(-440-385j),(-440-379j),(-457-330j),(-453-280j),(-438-229j),(-421-162j),(-383-93j),(-343-9j),(-276+79j),(-210+165j),(-134+228j),(-51+294j),(44+344j),(147+368j),(254+372j),(344+354j),(429+295j),(509+201j),(561+57j),(559-110j),(534-253j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982172.415145,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-845-123j),(-788+139j),(-661+359j),(-410+583j),(-100+655j),(185+589j),(387+434j),(519+190j),(544-36j),(501-257j),(381-465j),(221-599j),(20-690j),(-188-716j),(-387-685j),(-565-573j),(-695-427j),(-742-259j),(-748-82j),(-690+66j),(-596+201j),(-462+330j),(-313+371j),(-152+373j),(3+331j),(135+247j),(198+115j),(149-38j),(1023-32j),(56+203j),(248+238j),(395+187j),(485+90j),(534-23j),(549-132j),(528-244j),(482-305j),(414-375j),(330-414j),(225-435j),(118-434j),(7-394j),(-108-323j),(-190-211j),(-242-91j),(-265+32j),(-247+170j),(-185+292j),(-91+390j),(47+449j),(175+459j),(322+416j),(465+298j),(555+105j),(556-124j),(515-312j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982172.731129,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-731+278j),(-632+446j),(-501+581j),(-286+682j),(-53+716j),(144+657j),(307+561j),(404+448j),(492+266j),(534+104j),(545-63j),(535-223j),(492-372j),(429-508j),(342-618j),(262-693j),(183-746j),(92-770j),(19-755j),(-52-729j),(-121-672j),(-132-595j),(-204-503j),(-235-390j),(-250-266j),(-256-133j),(-208-9j),(-92+76j),(1023-32j),(-107-139j),(-273-134j),(-395-82j),(-468-30j),(-527+18j),(-566+50j),(-592+43j),(-596+93j),(-585+106j),(-567+118j),(-528+133j),(-472+145j),(-394+159j),(-309+163j),(-206+177j),(-102+181j),182j,(111+171j),(213+156j),(311+115j),(385+95j),(460+14j),(511-70j),(531-182j),(501-317j),(409-442j),(290-527j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982172.731388,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-815+4j),(-778+141j),(-720+262j),(-554+510j),(-305+645j),(-78+676j),(147+616j),(304+516j),(447+349j),(528+168j),(555-25j),(529-215j),(473-382j),(382-529j),(266-649j),(133-724j),(3-772j),(-134-756j),(-235-729j),(-333-648j),(-399-565j),(-423-454j),(-441-321j),(-417-187j),(-365-62j),(-280+59j),(-155+136j),(-9+120j),(1023-32j),(-175+1j),(-258+147j),(-277+285j),(-248+399j),(-219+490j),(-176+545j),(-143+582j),(-84+611j),(-42+601j),(8+579j),(47+536j),(97+476j),(130+397j),(169+310j),(183+197j),(191+88j),(180-28j),(147-144j),(90-247j),(18-334j),(-54-396j),(-178-426j),(-294-422j),(-421-368j),(-527-247j),(-588-81j),(-597-28j),(10245+0j),(-12288-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982173.406147,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-1057+115j),(-977+351j),(-847+558j),(-623+763j),(-322+872j),(-59+859j),(194+800j),(432+623j),(562+439j),(637+265j),(718+28j),(714-179j),(687-380j),(646-572j),(564-763j),(485-887j),(383-975j),(250-1021j),(139-996j),(45-960j),(-63-910j),(-168-798j),(-202-673j),(-228-518j),(-267-333j),(-291-161j),(-239-10j),(-95+100j),(1023-32j),(-170-164j),(-384-122j),(-536-69j),(-630+4j),(-695+59j),(-756+97j),(-770+152j),(-789+143j),(-763+154j),(-720+161j),(-665+164j),(-589+166j),(-485+159j),(-383+160j),(-251+163j),(-115+153j),(10+147j),(157+128j),(290+86j),(406+42j),(508-30j),(581-107j),(624-213j),(619-346j),(560-495j),(440-632j),(296-730j),(10245+0j),(-12544-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982173.412947,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(944-507j),(880-556j),(804-607j),(589-785j),(315-866j),(91-874j),(-113-805j),(-293-704j),(-424-564j),(-541-433j),(-654-255j),(-654-255j),(-803+64j),(-847+216j),(-872+352j),(-887+469j),(-878+555j),(-834+611j),(-798+632j),(-723+641j),(-648+624j),(-548+597j),(-441+538j),(-307+474j),(-162+400j),(-19+325j),(90+217j),(131+59j),(1023-32j),(-117+195j),(-60+395j),(-9+541j),(49+625j),(78+698j),(76+746j),(85+783j),(28+782j),(-1+772j),(-23+736j),(-44+671j),(-41+616j),(-44+527j),(-18+426j),(12+302j),(72+185j),(127+72j),(188-38j),(252-144j),(304-247j),(344-355j),(379-447j),(367-542j),(326-633j),(231-722j),(94-762j),(103-756j),(10245+0j),(-12544-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982173.452002,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(886-693j),(704-802j),(517-873j),(156-961j),(-188-917j),(-450-749j),(-622-531j),(-704-284j),(-719-30j),(-656+222j),(-556+444j),(-411+635j),(-217+791j),(-17+888j),(184+936j),(379+937j),(544+885j),(664+815j),(752+695j),(793+576j),(796+415j),(749+284j),(688+138j),(570+11j),(430-106j),(257-208j),(83-228j),(-65-129j),(1023-32j),(201-113j),(232-335j),(181-504j),(118-624j),(52-703j),(-8-755j),(-40-785j),(-89-790j),(-117-768j),(-149-725j),(-170-665j),(-194-579j),(-202-468j),(-214-357j),(-192-230j),(-172-82j),(-141+48j),(-89+179j),(-18+298j),(67+405j),(173+474j),(291+506j),(425+504j),(568+436j),(679+302j),(750+108j),(794+27j),(10245+0j),(-12544-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982173.751907,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(125+963j),(531+843j),(846+539j),(961+64j),(817-399j),(495-695j),(96-792j),(-257-706j),(-539-476j),(-701-155j),(-723+200j),(-594+541j),(-348+788j),(-25+933j),(308+943j),(610+836j),(858+628j),(1007+351j),(1021+61j),(940-215j),(774-421j),(560-544j),(303-605j),(56-542j),(-139-399j),(-255-189j),(-247+1j),(-87+137j),(1023-32j),(-236-83j),(-415+127j),(-449+335j),(-368+538j),(-249+668j),(-97+749j),(49+777j),(210+747j),(346+676j),(446+565j),(507+420j),(518+262j),(474+110j),(383-25j),(257-123j),(98-168j),(-67-165j),(-219-90j),(-326+35j),(-384+196j),(-373+372j),(-249+541j),(-65+660j),(182+693j),(461+599j),(665+354j),(703+44j),(10245+0j),(-12544-32640j),(128+0j),(1719-3250j)
