mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
6c3b6baef921,1731982568.586936,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-464-42j),(-415+162j),(-316+336j),(-144+460j),(57+509j),(221+526j),(383+495j),(511+451j),(607+404j),(691+357j),(736+278j),(757+202j),(732+134j),(708+46j),(661-49j),(590-139j),(498-242j),(391-331j),(296-424j),(199-514j),(120-611j),(20-685j),(-36-737j),(-123-770j),(-197-744j),(-269-689j),(-340-543j),(-302-237j),(1023-32j),(344-147j),(340-361j),(229-463j),(67-475j),(-87-483j),(-262-460j),(-442-420j),(-581-409j),(-741-363j),(-859-316j),(-954-272j),(-1028-233j),(-1068-171j),(-1068-105j),(-1015+2j),(-939+79j),(-843+164j),(-697+257j),(-533+352j),(-350+433j),(-157+501j),(43+531j),(255+534j),(476+478j),(685+335j),(826+122j),(853-105j),(10245+0j),(-11008-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982568.590946,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-163+325j),(21+353j),(207+345j),(312+218j),(473+107j),(498-105j),(669-246j),(609-375j),(671-487j),(616-493j),(538-581j),(496-613j),(384-654j),(309-639j),(199-620j),(85-587j),(-84-566j),(-116-486j),(-331-472j),(-307-492j),(-453-353j),(-587-379j),(-706-225j),(-778-198j),(-786-80j),(-733-33j),(-580+6j),(-336+151j),(1023-32j),(55-380j),(-167-422j),(-266-417j),(-364-352j),(-456-194j),(-531-42j),(-591+143j),(-660+284j),(-713+412j),(-751+517j),(-787+631j),(-798+702j),(-772+759j),(-717+797j),(-628+802j),(-518+794j),(-386+760j),(-241+709j),(-73+636j),(93+555j),(285+440j),(431+322j),(580+153j),(681-42j),(708-266j),(650-501j),(513-669j),(10245+0j),(-11008-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982568.600193,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-425+154j),(-257+391j),(26+490j),(306+392j),(492+168j),(574-138j),(493-426j),(291-623j),(139-755j),(-100-783j),(-317-721j),(-494-588j),(-631-412j),(-680-195j),(-659+24j),(-560+229j),(-391+394j),(-174+485j),(60+525j),(286+488j),(500+385j),(662+206j),(749+45j),(765-180j),(679-387j),(504-561j),(229-583j),(-67-380j),(1023-32j),(374-12j),(366-295j),(225-469j),(-22-492j),(-267-414j),(-480-238j),(-608+14j),(-669+251j),(-631+527j),(-512+766j),(-317+954j),(-74+1059j),(191+1070j),(454+981j),(656+786j),(787+539j),(821+248j),(747-41j),(574-285j),(320-453j),(16-525j),(-269-460j),(-527-270j),(-681+38j),(-648+414j),(-404+735j),(-26+861j),(10245+0j),(-11008-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982568.604798,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(40+401j),(264+317j),(408+146j),(456-80j),(373-351j),(199-536j),(26-656j),(-219-732j),(-375-711j),(-507-616j),(-620-545j),(-745-427j),(-771-238j),(-737-91j),(-698+72j),(-542+259j),(-342+335j),(-239+379j),(-120+478j),(19+533j),(124+553j),(304+580j),(523+542j),(664+395j),(719+285j),(730+143j),(601+6j),(323-185j),(1023-32j),(25+358j),(232+331j),(364+315j),(470+152j),(489-53j),(470-260j),(362-520j),(263-680j),(134-814j),(9-931j),(-149-1009j),(-299-1028j),(-443-1009j),(-588-930j),(-697-778j),(-752-589j),(-763-384j),(-720-168j),(-627+40j),(-504+237j),(-309+431j),(-98+543j),(169+588j),(447+533j),(685+358j),(820+86j),(824-220j),(10245+0j),(-10752-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982568.716471,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(165-262j),(165-262j),(-111-338j),(-318-218j),(-421+14j),(-397+259j),(-266+462j),(-59+578j),(165+593j),(380+513j),(535+347j),(602+144j),(587-69j),(477-250j),(312-379j),(102-422j),(-106-382j),(-278-267j),(-400-85j),(-436+124j),(-396+334j),(-273+499j),(-104+614j),(112+639j),(314+565j),(474+393j),(489+142j),(292-106j),(1023-32j),(93+274j),(315+184j),(385-6j),(295-209j),(111-348j),(-126-399j),(-358-337j),(-556-201j),(-681+19j),(-710+270j),(-638+521j),(-473+719j),(-232+838j),(36+856j),(294+752j),(490+560j),(582+301j),(569+22j),(424-208j),(204-355j),(-55-387j),(-304-291j),(-475-72j),(-512+225j),(-359+527j),(-46+688j),(256+644j),(10245+0j),(-10752-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982568.720380,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-197-173j),(-305-43j),(-333+138j),(-196+329j),(10+424j),(226+413j),(407+331j),(547+172j),(602+1j),(604-176j),(532-344j),(413-454j),(264-530j),(89-539j),(-84-493j),(-228-377j),(-333-211j),(-391-35j),(-375+151j),(-312+325j),(-200+463j),(-43+570j),(101+609j),(275+582j),(413+500j),(510+341j),(507+116j),(292-99j),(1023-32j),(58+282j),(266+256j),(362+96j),(343-98j),(235-268j),(75-406j),(-135-473j),(-335-484j),(-542-414j),(-700-295j),(-819-131j),(-864+69j),(-828+282j),(-712+474j),(-531+598j),(-314+665j),(-89+641j),(121+537j),(286+369j),(378+146j),(381-89j),(281-305j),(109-469j),(-145-539j),(-437-472j),(-658-225j),(-696+41j),(10245+0j),(-10752-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982569.440961,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-224+178j),(-191+220j),(-138+270j),(13+315j),(173+294j),(306+241j),(401+169j),(483+67j),(529-16j),(544-102j),(541-189j),(502-256j),(451-318j),(374-367j),(286-397j),(187-409j),(64-408j),(-44-377j),(-172-343j),(-272-294j),(-384-240j),(-477-160j),(-536-96j),(-583-17j),(-579+79j),(-537+185j),(-408+266j),(-165+252j),(1023-32j),(-166-250j),(-343-202j),(-418-70j),(-399+73j),(-343+223j),(-255+345j),(-130+468j),(-35+566j),(100+644j),(221+682j),(355+703j),(460+693j),(554+638j),(631+568j),(664+450j),(691+323j),(651+172j),(607+21j),(507-122j),(378-259j),(214-372j),(46-436j),(-152-455j),(-352-409j),(-545-279j),(-670-72j),(-669+88j),(10245+0j),(-11008-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982569.711689,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(313+187j),(352-16j),(303-212j),(152-340j),(-39-386j),(-205-366j),(-345-303j),(-473-203j),(-543-101j),(-591+16j),(-601+133j),(-566+237j),(-526+330j),(-441+408j),(-325+464j),(-191+487j),(-43+480j),(97+427j),(236+366j),(354+288j),(475+188j),(555+47j),(609-52j),(628-188j),(579-291j),(503-405j),(326-461j),(60-349j),(1023-32j),(312+163j),(468-1j),(465-186j),(343-327j),(189-435j),(-13-489j),(-223-500j),(-409-489j),(-601-426j),(-747-340j),(-887-229j),(-979-89j),(-1004+73j),(-987+255j),(-871+397j),(-745+527j),(-558+593j),(-358+638j),(-120+616j),(98+532j),(307+402j),(457+213j),(548-6j),(574-264j),(469-544j),(226-754j),(-61-796j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982569.715874,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(433-111j),(311-242j),(162-319j),(-31-366j),(-222-307j),(-374-197j),(-464-55j),(-511+118j),(-511+250j),(-466+385j),(-383+500j),(-265+567j),(-135+591j),(-12+583j),(120+541j),(234+450j),(336+333j),(390+161j),(421+1j),(406-155j),(392-313j),(306-464j),(233-556j),(102-641j),(-39-647j),(-39-647j),(-329-453j),(-307-159j),(1023-32j),(237-256j),(102-448j),(-89-484j),(-256-372j),(-386-231j),(-476-35j),(-500+198j),(-497+387j),(-412+604j),(-289+755j),(-135+890j),(33+963j),(227+972j),(410+928j),(556+760j),(673+593j),(705+382j),(697+151j),(610-78j),(457-265j),(244-426j),(10-485j),(-251-460j),(-506-346j),(-695-98j),(-748+225j),(-657+486j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
6c3b6baef921,1731982569.719998,(2048-1j),(-2049+6144j),(-7168-7169j),(-1024-5120j),(-385-201j),(-385+33j),(-279+234j),(-87+362j),(151+359j),(343+265j),(468+85j),(516-120j),(489-300j),(397-482j),(235-594j),(50-626j),(-119-609j),(-272-519j),(-404-372j),(-460-200j),(-458+10j),(-375+197j),(-237+346j),(-58+436j),(137+483j),(353+430j),(478+350j),(611+190j),(654+8j),(613-193j),(423-358j),(102-327j),(1023-32j),(315+126j),(427-107j),(351-322j),(157-417j),(-80-424j),(-320-326j),(-504-131j),(-616+72j),(-639+335j),(-573+588j),(-422+801j),(-203+940j),(72+995j),(343+927j),(563+753j),(716+509j),(749+234j),(680-47j),(513-277j),(265-421j),(-34-466j),(-292-374j),(-503-160j),(-600+151j),(-501+495j),(-210+740j),(146+792j),(10245+0j),(-11264-32640j),(128+0j),(1719-3250j)
